Var1,Var2,Var4,Var5,V,k
10,20,60,1,15.0,0.005555555555555556
10,20,180,1,15.0,0.001851851851851852
11,20,365,1,15.5,0.0007954043305346885
8,20,1825,0,8.0,0.0008219178082191781
1,20,90,1,10.5,0.010052910052910053
1,20,180,1,10.5,0.0050264550264550265
3,20,180,1,11.5,0.004106280193236715
9,20,365,0,9.0,0.0033485540334855404
1,20,60,1,10.5,0.01507936507936508
2,20,90,1,11.0,0.00909090909090909
2,20,60,1,11.0,0.013636363636363636
10,20,365,1,15.0,0.0009132420091324201
2,20,180,1,11.0,0.004545454545454545
9,20,1825,0,9.0,0.0006697108066971081
12,20,365,0,12.0,0.0018264840182648401
12,20,1825,0,12.0,0.00036529680365296805
8,20,365,1,14.0,0.0011741682974559687
11,20,365,0,11.0,0.00224159402241594
7,20,365,1,13.5,0.0013191273465246068
13,20,365,0,13.0,0.0014752370916754477
9,20,365,1,14.5,0.0010392064241851677
6,20,365,1,13.0,0.0014752370916754477
9,20,180,1,14.5,0.00210727969348659
10,20,365,0,10.0,0.0027397260273972603
14,20,365,0,14.0,0.0011741682974559687
11,20,180,1,15.5,0.0016129032258064516
10,20,180,1,15.0,0.001851851851851852
12,20,180,1,16.0,0.001388888888888889
12,20,365,0,12.0,0.0018264840182648401
11,20,365,0,11.0,0.00224159402241594
13,20,180,0,13.0,0.0029914529914529917
8,20,365,1,14.0,0.0011741682974559687
9,20,365,1,14.5,0.0010392064241851677
14,20,180,1,17.0,0.000980392156862745
15,20,180,0,15.0,0.001851851851851852
10,20,365,0,10.0,0.0027397260273972603
