Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,1,15.5,0.041474654377880185
7,20,30,1,13.5,0.016049382716049384
10,20,60,0,10.0,0.016666666666666666
13,20,60,0,13.0,0.008974358974358974
12,20,5,1,16.0,0.05
8,20,60,1,14.0,0.007142857142857143
1,20,5,1,10.5,0.18095238095238095
18,20,90,0,18.0,0.0012345679012345679
19,20,90,0,19.0,0.0005847953216374269
1,20,4,1,10.5,0.2261904761904762
1,20,6,1,10.5,0.15079365079365079
10,20,30,0,10.0,0.03333333333333333
17,20,60,0,17.0,0.0029411764705882353
5,20,7,1,12.5,0.08571428571428572
10,20,21,1,15.0,0.015873015873015872
4,20,7,1,12.0,0.09523809523809523
9,20,30,1,14.5,0.01264367816091954
11,20,30,0,11.0,0.02727272727272727
7,20,21,1,13.5,0.02292768959435626
6,20,21,1,13.0,0.02564102564102564
12,20,21,0,12.0,0.031746031746031744
8,20,21,0,8.0,0.07142857142857142
9,20,21,0,9.0,0.0582010582010582
8,20,14,1,14.0,0.030612244897959183
7,20,14,1,13.5,0.03439153439153439
11,20,21,0,11.0,0.03896103896103896
6,20,14,1,13.0,0.038461538461538464
10,20,21,0,10.0,0.047619047619047616
11,20,14,0,11.0,0.05844155844155844
10,20,14,1,15.0,0.023809523809523808
12,20,14,0,12.0,0.047619047619047616
9,20,14,1,14.5,0.027093596059113302
13,20,14,0,13.0,0.038461538461538464
8,20,21,1,14.0,0.02040816326530612
