Var1,Var2,Var4,Var5,V,k
10,20,60,0,10.0,0.016666666666666666
10,20,21,1,15.0,0.015873015873015872
7,20,90,1,13.5,0.005349794238683128
8,20,90,1,14.0,0.004761904761904762
1,20,60,1,10.5,0.01507936507936508
8,20,180,0,8.0,0.008333333333333333
1,20,21,1,10.5,0.04308390022675737
9,20,180,0,9.0,0.006790123456790123
10,20,180,0,10.0,0.005555555555555556
11,20,21,1,15.5,0.013824884792626729
6,20,365,0,6.0,0.006392694063926941
13,20,14,1,16.5,0.015151515151515152
11,20,90,0,11.0,0.00909090909090909
12,20,21,1,16.0,0.011904761904761904
10,20,90,1,15.0,0.003703703703703704
14,20,180,0,14.0,0.002380952380952381
13,20,180,0,13.0,0.0029914529914529917
10,20,60,1,15.0,0.005555555555555556
12,20,60,1,16.0,0.004166666666666667
9,20,90,1,14.5,0.00421455938697318
12,20,90,1,16.0,0.002777777777777778
15,20,180,0,15.0,0.001851851851851852
12,20,180,0,12.0,0.003703703703703704
11,20,60,1,15.5,0.004838709677419355
11,20,90,0,11.0,0.00909090909090909
8,20,90,1,14.0,0.004761904761904762
10,20,90,0,10.0,0.011111111111111112
7,20,90,1,13.5,0.005349794238683128
8,20,60,1,14.0,0.007142857142857143
13,20,60,1,16.5,0.0035353535353535356
8,20,180,0,8.0,0.008333333333333333
9,20,90,1,14.5,0.00421455938697318
12,20,90,1,16.0,0.002777777777777778
9,20,180,0,9.0,0.006790123456790123
13,20,90,0,13.0,0.005982905982905983
7,20,180,0,7.0,0.010317460317460317
11,20,90,0,11.0,0.00909090909090909
11,20,60,1,15.5,0.004838709677419355
10,20,90,0,10.0,0.011111111111111112
12,20,60,1,16.0,0.004166666666666667
6,20,180,0,6.0,0.012962962962962963
