Var1,Var2,Var4,Var5,V,k
5,10,60,1,7.5,0.005555555555555556
4,10,365,0,4.0,0.00410958904109589
6,10,60,1,8.0,0.004166666666666667
6,10,90,1,8.0,0.002777777777777778
1,10,30,0,1.0,0.3
1,10,21,0,1.0,0.42857142857142855
1,10,14,0,1.0,0.6428571428571429
2,10,30,0,2.0,0.13333333333333333
7,10,30,1,8.5,0.0058823529411764705
3,10,30,0,3.0,0.07777777777777778
3,10,21,0,3.0,0.1111111111111111
9,10,21,1,9.5,0.002506265664160401
2,10,21,0,2.0,0.19047619047619047
8,10,30,1,9.0,0.003703703703703704
4,10,30,0,4.0,0.05
9,10,30,1,9.5,0.0017543859649122807
1,10,30,0,1.0,0.3
1,10,21,0,1.0,0.42857142857142855
8,10,21,1,9.0,0.005291005291005291
1,10,14,0,1.0,0.6428571428571429
2,10,30,0,2.0,0.13333333333333333
9,10,14,1,9.5,0.0037593984962406013
2,10,14,0,2.0,0.2857142857142857
9,10,21,1,9.5,0.002506265664160401
2,10,21,0,2.0,0.19047619047619047
1,10,7,0,1.0,1.2857142857142858
8,10,30,1,9.0,0.003703703703703704
3,10,21,0,3.0,0.1111111111111111
1,10,30,0,1.0,0.3
9,10,30,1,9.5,0.0017543859649122807
1,10,21,0,1.0,0.42857142857142855
1,10,14,0,1.0,0.6428571428571429
8,10,21,1,9.0,0.005291005291005291
2,10,30,0,2.0,0.13333333333333333
2,10,14,0,2.0,0.2857142857142857
9,10,21,1,9.5,0.002506265664160401
