Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,0,5.0,0.07142857142857142
5,10,6,1,7.5,0.05555555555555555
2,10,60,0,2.0,0.06666666666666667
8,10,30,1,9.0,0.003703703703703704
6,10,30,1,8.0,0.008333333333333333
1,10,21,0,1.0,0.42857142857142855
2,10,30,0,2.0,0.13333333333333333
7,10,30,1,8.5,0.0058823529411764705
1,10,30,0,1.0,0.3
3,10,21,0,3.0,0.1111111111111111
9,10,30,1,9.5,0.0017543859649122807
2,10,21,0,2.0,0.19047619047619047
9,10,21,1,9.5,0.002506265664160401
1,10,14,0,1.0,0.6428571428571429
2,10,14,0,2.0,0.2857142857142857
8,10,30,1,9.0,0.003703703703703704
3,10,30,0,3.0,0.07777777777777778
8,10,21,1,9.0,0.005291005291005291
1,10,21,0,1.0,0.42857142857142855
7,10,30,1,8.5,0.0058823529411764705
1,10,30,0,1.0,0.3
2,10,30,0,2.0,0.13333333333333333
9,10,30,1,9.5,0.0017543859649122807
2,10,21,0,2.0,0.19047619047619047
3,10,21,0,3.0,0.1111111111111111
1,10,14,0,1.0,0.6428571428571429
9,10,21,1,9.5,0.002506265664160401
8,10,30,1,9.0,0.003703703703703704
2,10,14,0,2.0,0.2857142857142857
3,10,14,0,3.0,0.16666666666666666
8,10,21,1,9.0,0.005291005291005291
1,10,21,0,1.0,0.42857142857142855
6,10,21,1,8.0,0.011904761904761904
1,10,30,0,1.0,0.3
1,10,7,0,1.0,1.2857142857142858
