Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,1,14.5,0.00210727969348659
10,20,365,0,10.0,0.0027397260273972603
13,20,90,0,13.0,0.005982905982905983
3,20,30,1,11.5,0.02463768115942029
1,20,30,1,10.5,0.03015873015873016
2,20,30,1,11.0,0.02727272727272727
4,20,60,1,12.0,0.011111111111111112
9,20,365,0,9.0,0.0033485540334855404
10,20,90,1,15.0,0.003703703703703704
11,20,60,0,11.0,0.013636363636363636
1,20,21,1,10.5,0.04308390022675737
2,20,21,1,11.0,0.03896103896103896
1,20,14,1,10.5,0.06462585034013606
14,20,365,0,14.0,0.0011741682974559687
11,20,90,0,11.0,0.00909090909090909
15,20,180,0,15.0,0.001851851851851852
6,20,60,1,13.0,0.008974358974358974
4,20,30,1,12.0,0.022222222222222223
9,20,90,1,14.5,0.00421455938697318
8,20,90,1,14.0,0.004761904761904762
10,20,90,1,15.0,0.003703703703703704
9,20,180,0,9.0,0.006790123456790123
7,20,60,1,13.5,0.008024691358024692
12,20,90,0,12.0,0.007407407407407408
11,20,60,0,11.0,0.013636363636363636
7,20,90,1,13.5,0.005349794238683128
11,20,90,0,11.0,0.00909090909090909
9,20,60,1,14.5,0.00632183908045977
13,20,90,0,13.0,0.005982905982905983
10,20,60,1,15.0,0.005555555555555556
9,20,90,1,14.5,0.00421455938697318
12,20,60,0,12.0,0.011111111111111112
10,20,90,1,15.0,0.003703703703703704
9,20,180,1,14.5,0.00210727969348659
10,20,180,1,15.0,0.001851851851851852
