Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,1,14.5,0.00210727969348659
10,20,365,0,10.0,0.0027397260273972603
13,20,90,1,16.5,0.0023569023569023568
1,20,60,1,10.5,0.01507936507936508
2,20,60,1,11.0,0.013636363636363636
11,20,365,1,15.5,0.0007954043305346885
1,20,90,1,10.5,0.010052910052910053
1,20,180,1,10.5,0.0050264550264550265
12,20,365,0,12.0,0.0018264840182648401
2,20,90,1,11.0,0.00909090909090909
13,20,365,0,13.0,0.0014752370916754477
8,20,365,0,8.0,0.00410958904109589
1,20,30,1,10.5,0.03015873015873016
17,20,365,0,17.0,0.00048348106365834006
3,20,60,1,11.5,0.012318840579710146
3,20,90,1,11.5,0.00821256038647343
9,20,365,0,9.0,0.0033485540334855404
5,20,90,1,12.5,0.006666666666666667
8,20,180,1,14.0,0.002380952380952381
11,20,180,1,15.5,0.0016129032258064516
6,20,180,1,13.0,0.0029914529914529917
5,20,180,1,12.5,0.0033333333333333335
12,20,180,1,16.0,0.001388888888888889
11,20,365,0,11.0,0.00224159402241594
8,20,365,0,8.0,0.00410958904109589
9,20,180,1,14.5,0.00210727969348659
10,20,180,0,10.0,0.005555555555555556
7,20,180,1,13.5,0.002674897119341564
10,20,365,0,10.0,0.0027397260273972603
9,20,365,0,9.0,0.0033485540334855404
8,20,180,1,14.0,0.002380952380952381
11,20,180,1,15.5,0.0016129032258064516
7,20,365,0,7.0,0.005088062622309198
13,20,180,0,13.0,0.0029914529914529917
12,20,180,0,12.0,0.003703703703703704
