Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,1,15.5,0.041474654377880185
7,20,30,1,13.5,0.016049382716049384
10,20,60,0,10.0,0.016666666666666666
13,20,60,0,13.0,0.008974358974358974
12,20,5,1,16.0,0.05
8,20,60,1,14.0,0.007142857142857143
1,20,5,1,10.5,0.18095238095238095
18,20,90,0,18.0,0.0012345679012345679
19,20,90,0,19.0,0.0005847953216374269
1,20,4,1,10.5,0.2261904761904762
1,20,6,1,10.5,0.15079365079365079
10,20,30,1,15.0,0.011111111111111112
16,20,180,0,16.0,0.001388888888888889
3,20,14,1,11.5,0.052795031055900624
9,20,30,1,14.5,0.01264367816091954
5,20,21,1,12.5,0.02857142857142857
10,20,60,1,15.0,0.005555555555555556
13,20,90,0,13.0,0.005982905982905983
7,20,30,1,13.5,0.016049382716049384
8,20,60,1,14.0,0.007142857142857143
10,20,90,1,15.0,0.003703703703703704
12,20,90,0,12.0,0.007407407407407408
11,20,60,0,11.0,0.013636363636363636
9,20,60,1,14.5,0.00632183908045977
6,20,30,1,13.0,0.017948717948717947
5,20,30,1,12.5,0.02
9,20,90,1,14.5,0.00421455938697318
11,20,90,1,15.5,0.0032258064516129032
14,20,90,1,17.0,0.00196078431372549
12,20,180,0,12.0,0.003703703703703704
13,20,90,1,16.5,0.0023569023569023568
13,20,180,0,13.0,0.0029914529914529917
11,20,180,0,11.0,0.004545454545454545
12,20,90,1,16.0,0.002777777777777778
