Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,1,15.0,0.015873015873015872
8,20,60,1,14.0,0.007142857142857143
7,20,90,1,13.5,0.005349794238683128
1,20,30,1,10.5,0.03015873015873016
7,20,180,0,7.0,0.010317460317460317
1,20,14,1,10.5,0.06462585034013606
8,20,180,0,8.0,0.008333333333333333
9,20,180,0,9.0,0.006790123456790123
12,20,14,1,16.0,0.017857142857142856
10,20,90,1,15.0,0.003703703703703704
1,20,7,1,10.5,0.1292517006802721
1,20,6,1,10.5,0.15079365079365079
16,20,365,0,16.0,0.0006849315068493151
17,20,180,0,17.0,0.000980392156862745
2,20,21,1,11.0,0.03896103896103896
3,20,21,1,11.5,0.035196687370600416
9,20,90,1,14.5,0.00421455938697318
2,20,30,1,11.0,0.02727272727272727
11,20,90,1,15.5,0.0032258064516129032
12,20,180,0,12.0,0.003703703703703704
6,20,60,1,13.0,0.008974358974358974
5,20,60,1,12.5,0.01
8,20,90,1,14.0,0.004761904761904762
10,20,180,0,10.0,0.005555555555555556
10,20,90,1,15.0,0.003703703703703704
12,20,90,1,16.0,0.002777777777777778
11,20,180,0,11.0,0.004545454545454545
7,20,90,1,13.5,0.005349794238683128
9,20,180,0,9.0,0.006790123456790123
9,20,90,1,14.5,0.00421455938697318
11,20,90,1,15.5,0.0032258064516129032
13,20,90,1,16.5,0.0023569023569023568
12,20,180,0,12.0,0.003703703703703704
14,20,90,0,14.0,0.004761904761904762
8,20,180,0,8.0,0.008333333333333333
