Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,1,7.5,0.023809523809523808
3,10,90,1,6.5,0.005982905982905983
3,10,180,0,3.0,0.012962962962962963
3,10,7,0,3.0,0.3333333333333333
4,10,21,1,7.0,0.02040816326530612
1,10,14,0,1.0,0.6428571428571429
3,10,21,1,6.5,0.02564102564102564
1,10,21,1,5.5,0.03896103896103896
1,10,30,1,5.5,0.02727272727272727
2,10,30,1,6.0,0.022222222222222223
1,10,60,1,5.5,0.013636363636363636
1,10,7,1,5.5,0.11688311688311688
1,10,6,1,5.5,0.13636363636363635
4,10,180,1,7.0,0.002380952380952381
1,10,90,0,1.0,0.1
2,10,60,1,6.0,0.011111111111111112
1,10,180,1,5.5,0.004545454545454545
1,10,14,1,5.5,0.05844155844155844
2,10,180,1,6.0,0.003703703703703704
1,10,365,0,1.0,0.024657534246575342
1,10,30,1,5.5,0.02727272727272727
1,10,21,1,5.5,0.03896103896103896
1,10,60,1,5.5,0.013636363636363636
9,10,365,1,9.5,0.00014419610670511897
2,10,365,1,6.0,0.0018264840182648401
3,10,365,1,6.5,0.0014752370916754477
1,10,90,1,5.5,0.00909090909090909
4,10,365,1,7.0,0.0011741682974559687
1,10,180,0,1.0,0.05
3,10,180,1,6.5,0.0029914529914529917
2,10,180,0,2.0,0.022222222222222223
1,10,365,0,1.0,0.024657534246575342
1,10,30,0,1.0,0.3
1,10,21,1,5.5,0.03896103896103896
1,10,60,1,5.5,0.013636363636363636
