Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,1,7.5,0.023809523809523808
3,10,90,0,3.0,0.025925925925925925
3,10,60,1,6.5,0.008974358974358974
4,10,180,0,4.0,0.008333333333333333
5,10,6,1,7.5,0.05555555555555555
5,10,180,0,5.0,0.005555555555555556
6,10,4,1,8.0,0.0625
4,10,365,0,4.0,0.00410958904109589
5,10,7,1,7.5,0.047619047619047616
6,10,3,1,8.0,0.08333333333333333
5,10,30,0,5.0,0.03333333333333333
5,10,21,1,7.5,0.015873015873015872
6,10,2,1,8.0,0.125
6,10,30,0,6.0,0.022222222222222223
6,10,21,0,6.0,0.031746031746031744
4,10,30,0,4.0,0.05
4,10,21,0,4.0,0.07142857142857142
5,10,5,0,5.0,0.2
9,10,90,0,9.0,0.0012345679012345679
9,10,180,0,9.0,0.0006172839506172839
4,10,7,0,4.0,0.21428571428571427
9,10,60,0,9.0,0.001851851851851852
9,10,365,0,9.0,0.00030441400304414006
1,10,2,1,5.5,0.4090909090909091
1,10,3,1,5.5,0.2727272727272727
1,10,4,1,5.5,0.20454545454545456
5,10,7,0,5.0,0.14285714285714285
1,10,1,1,5.5,0.8181818181818182
6,10,7,1,8.0,0.03571428571428571
4,10,14,0,4.0,0.10714285714285714
1,10,5,1,5.5,0.16363636363636364
5,10,14,0,5.0,0.07142857142857142
4,10,7,0,4.0,0.21428571428571427
4,10,6,1,7.0,0.07142857142857142
5,10,6,0,5.0,0.16666666666666666
