Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,1,15.0,0.015873015873015872
8,20,60,0,8.0,0.025
11,20,21,1,15.5,0.013824884792626729
5,20,7,1,12.5,0.08571428571428572
9,20,90,0,9.0,0.013580246913580247
13,20,7,1,16.5,0.030303030303030304
6,20,180,0,6.0,0.012962962962962963
14,20,5,1,17.0,0.03529411764705882
7,20,180,1,13.5,0.002674897119341564
18,20,180,0,18.0,0.0006172839506172839
17,20,180,0,17.0,0.000980392156862745
16,20,180,0,16.0,0.001388888888888889
2,20,7,1,11.0,0.11688311688311688
3,20,7,1,11.5,0.10559006211180125
10,20,60,1,15.0,0.005555555555555556
1,20,7,1,10.5,0.1292517006802721
1,20,6,1,10.5,0.15079365079365079
1,20,14,1,10.5,0.06462585034013606
11,20,60,0,11.0,0.013636363636363636
9,20,60,1,14.5,0.00632183908045977
5,20,30,1,12.5,0.02
4,20,30,1,12.0,0.022222222222222223
6,20,30,1,13.0,0.017948717948717947
12,20,60,1,16.0,0.004166666666666667
12,20,90,0,12.0,0.007407407407407408
8,20,60,1,14.0,0.007142857142857143
10,20,90,0,10.0,0.011111111111111112
6,20,60,1,13.0,0.008974358974358974
11,20,90,0,11.0,0.00909090909090909
10,20,60,1,15.0,0.005555555555555556
11,20,60,1,15.5,0.004838709677419355
13,20,60,1,16.5,0.0035353535353535356
13,20,90,0,13.0,0.005982905982905983
14,20,60,0,14.0,0.007142857142857143
9,20,90,1,14.5,0.00421455938697318
