Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,0,11.0,0.11688311688311688
9,20,5,1,14.5,0.07586206896551724
17,20,30,0,17.0,0.0058823529411764705
16,20,21,0,16.0,0.011904761904761904
12,20,2,1,16.0,0.125
8,20,21,0,8.0,0.07142857142857142
14,20,1,1,17.0,0.17647058823529413
10,20,7,1,15.0,0.047619047619047616
9,20,21,0,9.0,0.0582010582010582
10,20,4,1,15.0,0.08333333333333333
9,20,14,0,9.0,0.0873015873015873
11,20,6,1,15.5,0.04838709677419355
10,20,14,0,10.0,0.07142857142857142
11,20,7,1,15.5,0.041474654377880185
12,20,7,1,16.0,0.03571428571428571
11,20,14,1,15.5,0.020737327188940093
16,20,30,0,16.0,0.008333333333333333
15,20,30,0,15.0,0.011111111111111112
14,20,30,0,14.0,0.014285714285714285
5,20,5,1,12.5,0.12
9,20,21,0,9.0,0.0582010582010582
10,20,7,1,15.0,0.047619047619047616
9,20,14,0,9.0,0.0873015873015873
8,20,14,1,14.0,0.030612244897959183
10,20,14,0,10.0,0.07142857142857142
11,20,7,1,15.5,0.041474654377880185
12,20,7,1,16.0,0.03571428571428571
13,20,7,1,16.5,0.030303030303030304
11,20,14,0,11.0,0.05844155844155844
7,20,14,0,7.0,0.1326530612244898
6,20,14,0,6.0,0.16666666666666666
12,20,14,0,12.0,0.047619047619047616
9,20,7,1,14.5,0.054187192118226604
10,20,7,1,15.0,0.047619047619047616
