Var1,Var2,Var4,Var5,V,k
5,10,60,1,7.5,0.005555555555555556
4,10,365,0,4.0,0.00410958904109589
6,10,60,0,6.0,0.011111111111111112
7,10,21,0,7.0,0.02040816326530612
5,10,14,0,5.0,0.07142857142857142
9,10,21,0,9.0,0.005291005291005291
9,10,30,0,9.0,0.003703703703703704
9,10,14,1,9.5,0.0037593984962406013
8,10,21,0,8.0,0.011904761904761904
9,10,60,0,9.0,0.001851851851851852
8,10,14,0,8.0,0.017857142857142856
9,10,7,0,9.0,0.015873015873015872
9,10,6,1,9.5,0.008771929824561403
9,10,90,0,9.0,0.0012345679012345679
8,10,7,0,8.0,0.03571428571428571
9,10,5,1,9.5,0.010526315789473684
9,10,180,0,9.0,0.0006172839506172839
9,10,21,0,9.0,0.005291005291005291
9,10,30,0,9.0,0.003703703703703704
1,10,2,1,5.5,0.4090909090909091
1,10,1,1,5.5,0.8181818181818182
1,10,3,1,5.5,0.2727272727272727
6,10,7,1,8.0,0.03571428571428571
5,10,14,0,5.0,0.07142857142857142
1,10,4,1,5.5,0.20454545454545456
1,10,5,1,5.5,0.16363636363636364
1,10,6,1,5.5,0.13636363636363635
1,10,7,1,5.5,0.11688311688311688
4,10,14,0,4.0,0.10714285714285714
3,10,7,1,6.5,0.07692307692307693
3,10,14,1,6.5,0.038461538461538464
2,10,14,0,2.0,0.2857142857142857
2,10,7,1,6.0,0.09523809523809523
4,10,7,1,7.0,0.061224489795918366
3,10,21,0,3.0,0.1111111111111111
5,10,14,0,5.0,0.07142857142857142
