Var1,Var2,Var4,Var5,V,k
5,10,60,1,7.5,0.005555555555555556
4,10,365,0,4.0,0.00410958904109589
6,10,60,0,6.0,0.011111111111111112
7,10,21,1,8.5,0.008403361344537815
1,10,14,1,5.5,0.05844155844155844
2,10,21,1,6.0,0.031746031746031744
5,10,14,1,7.5,0.023809523809523808
5,10,365,0,5.0,0.0027397260273972603
5,10,21,1,7.5,0.015873015873015872
6,10,180,0,6.0,0.003703703703703704
6,10,7,1,8.0,0.03571428571428571
5,10,90,0,5.0,0.011111111111111112
6,10,6,1,8.0,0.041666666666666664
5,10,60,1,7.5,0.005555555555555556
5,10,180,0,5.0,0.005555555555555556
6,10,60,1,8.0,0.004166666666666667
7,10,90,0,7.0,0.004761904761904762
4,10,90,1,7.0,0.004761904761904762
3,10,180,0,3.0,0.012962962962962963
4,10,60,1,7.0,0.007142857142857143
3,10,90,1,6.5,0.005982905982905983
6,10,30,1,8.0,0.008333333333333333
2,10,180,1,6.0,0.003703703703703704
5,10,90,1,7.5,0.003703703703703704
6,10,90,1,8.0,0.002777777777777778
4,10,180,0,4.0,0.008333333333333333
7,10,60,1,8.5,0.0029411764705882353
5,10,180,0,5.0,0.005555555555555556
6,10,60,1,8.0,0.004166666666666667
7,10,90,0,7.0,0.004761904761904762
3,10,180,1,6.5,0.0029914529914529917
8,10,60,1,9.0,0.001851851851851852
6,10,180,0,6.0,0.003703703703703704
8,10,90,0,8.0,0.002777777777777778
3,10,365,0,3.0,0.006392694063926941
5,10,90,1,7.5,0.003703703703703704
