Var1,Var2,Var4,Var5,V,k
5,10,60,1,7.5,0.005555555555555556
4,10,365,0,4.0,0.00410958904109589
6,10,60,1,8.0,0.004166666666666667
6,10,90,0,6.0,0.007407407407407408
1,10,21,1,5.5,0.03896103896103896
2,10,21,0,2.0,0.19047619047619047
1,10,30,1,5.5,0.02727272727272727
1,10,14,1,5.5,0.05844155844155844
2,10,30,1,6.0,0.022222222222222223
1,10,60,0,1.0,0.15
2,10,14,1,6.0,0.047619047619047616
1,10,7,1,5.5,0.11688311688311688
1,10,6,1,5.5,0.13636363636363635
2,10,60,1,6.0,0.011111111111111112
1,10,5,1,5.5,0.16363636363636364
1,10,90,0,1.0,0.1
1,10,21,1,5.5,0.03896103896103896
1,10,4,1,5.5,0.20454545454545456
9,10,365,0,9.0,0.00030441400304414006
9,10,180,0,9.0,0.0006172839506172839
8,10,365,0,8.0,0.0006849315068493151
8,10,180,0,8.0,0.001388888888888889
4,10,60,0,4.0,0.025
9,10,90,0,9.0,0.0012345679012345679
9,10,60,0,9.0,0.001851851851851852
5,10,30,0,5.0,0.03333333333333333
5,10,21,1,7.5,0.015873015873015872
1,10,7,1,5.5,0.11688311688311688
4,10,30,0,4.0,0.05
6,10,30,0,6.0,0.022222222222222223
6,10,21,0,6.0,0.031746031746031744
6,10,14,0,6.0,0.047619047619047616
5,10,14,0,5.0,0.07142857142857142
4,10,14,1,7.0,0.030612244897959183
7,10,14,0,7.0,0.030612244897959183
4,10,21,0,4.0,0.07142857142857142
