Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,1,15.5,0.041474654377880185
7,20,30,1,13.5,0.016049382716049384
10,20,60,0,10.0,0.016666666666666666
13,20,60,0,13.0,0.008974358974358974
12,20,5,0,12.0,0.13333333333333333
19,20,30,0,19.0,0.0017543859649122807
19,20,21,0,19.0,0.002506265664160401
19,20,60,0,19.0,0.0008771929824561404
10,20,3,0,10.0,0.3333333333333333
19,20,7,0,19.0,0.007518796992481203
14,20,3,1,17.0,0.058823529411764705
18,20,30,0,18.0,0.003703703703703704
6,20,2,1,13.0,0.2692307692307692
4,20,2,1,12.0,0.3333333333333333
5,20,3,0,5.0,1.0
19,20,14,0,19.0,0.0037593984962406013
7,20,2,1,13.5,0.24074074074074073
5,20,2,1,12.5,0.3
12,20,6,0,12.0,0.1111111111111111
7,20,3,1,13.5,0.16049382716049382
14,20,7,1,17.0,0.025210084033613446
19,20,21,0,19.0,0.002506265664160401
7,20,5,1,13.5,0.0962962962962963
7,20,6,1,13.5,0.08024691358024691
8,20,7,1,14.0,0.061224489795918366
9,20,7,1,14.5,0.054187192118226604
9,20,14,1,14.5,0.027093596059113302
8,20,14,1,14.0,0.030612244897959183
10,20,14,1,15.0,0.023809523809523808
7,20,14,1,13.5,0.03439153439153439
9,20,21,0,9.0,0.0582010582010582
6,20,14,0,6.0,0.16666666666666666
11,20,14,0,11.0,0.05844155844155844
7,20,7,0,7.0,0.2653061224489796
