Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,0,9.0,0.006790123456790123
11,20,60,1,15.5,0.004838709677419355
7,20,180,1,13.5,0.002674897119341564
1,20,30,1,10.5,0.03015873015873016
8,20,365,1,14.0,0.0011741682974559687
1,20,90,1,10.5,0.010052910052910053
1,20,60,1,10.5,0.01507936507936508
1,20,180,1,10.5,0.0050264550264550265
10,20,365,1,15.0,0.0009132420091324201
1,20,365,1,10.5,0.002478799739073712
13,20,365,1,16.5,0.00058115400581154
2,20,365,1,11.0,0.00224159402241594
16,20,365,0,16.0,0.0006849315068493151
15,20,365,0,15.0,0.0009132420091324201
12,20,365,1,16.0,0.0006849315068493151
17,20,365,0,17.0,0.00048348106365834006
11,20,365,0,11.0,0.00224159402241594
19,20,365,0,19.0,0.00014419610670511897
14,20,365,0,14.0,0.0011741682974559687
4,20,180,1,12.0,0.003703703703703704
10,20,365,1,15.0,0.0009132420091324201
3,20,180,1,11.5,0.004106280193236715
2,20,180,1,11.0,0.004545454545454545
9,20,365,1,14.5,0.0010392064241851677
13,20,365,1,16.5,0.00058115400581154
15,20,365,0,15.0,0.0009132420091324201
8,20,365,1,14.0,0.0011741682974559687
12,20,365,1,16.0,0.0006849315068493151
16,20,365,0,16.0,0.0006849315068493151
11,20,365,1,15.5,0.0007954043305346885
14,20,365,1,17.0,0.00048348106365834006
17,20,365,0,17.0,0.00048348106365834006
10,20,365,1,15.0,0.0009132420091324201
18,20,365,0,18.0,0.00030441400304414006
14,20,180,1,17.0,0.000980392156862745
