Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,0,9.0,0.006790123456790123
11,20,60,0,11.0,0.013636363636363636
14,20,21,0,14.0,0.02040816326530612
12,20,14,1,16.0,0.017857142857142856
6,20,14,1,13.0,0.038461538461538464
3,20,14,1,11.5,0.052795031055900624
8,20,180,1,14.0,0.002380952380952381
1,20,21,1,10.5,0.04308390022675737
1,20,14,1,10.5,0.06462585034013606
11,20,180,1,15.5,0.0016129032258064516
1,20,60,1,10.5,0.01507936507936508
1,20,90,1,10.5,0.010052910052910053
9,20,365,0,9.0,0.0033485540334855404
14,20,365,0,14.0,0.0011741682974559687
1,20,30,1,10.5,0.03015873015873016
15,20,365,0,15.0,0.0009132420091324201
2,20,21,1,11.0,0.03896103896103896
9,20,90,1,14.5,0.00421455938697318
13,20,180,0,13.0,0.0029914529914529917
10,20,180,0,10.0,0.005555555555555556
8,20,90,1,14.0,0.004761904761904762
5,20,60,1,12.5,0.01
4,20,60,1,12.0,0.011111111111111112
9,20,180,1,14.5,0.00210727969348659
11,20,180,0,11.0,0.004545454545454545
10,20,90,1,15.0,0.003703703703703704
8,20,180,0,8.0,0.008333333333333333
7,20,90,1,13.5,0.005349794238683128
12,20,180,1,16.0,0.001388888888888889
14,20,180,0,14.0,0.002380952380952381
13,20,180,1,16.5,0.0011784511784511784
15,20,180,1,17.5,0.0007936507936507937
11,20,365,1,15.5,0.0007954043305346885
14,20,365,0,14.0,0.0011741682974559687
13,20,365,1,16.5,0.00058115400581154
