Var1,Var2,Var4,Var5,V,k
10,20,60,0,10.0,0.016666666666666666
10,20,21,0,10.0,0.047619047619047616
11,20,7,0,11.0,0.11688311688311688
9,20,5,1,14.5,0.07586206896551724
18,20,30,0,18.0,0.003703703703703704
17,20,21,0,17.0,0.008403361344537815
12,20,2,1,16.0,0.125
8,20,21,0,8.0,0.07142857142857142
7,20,30,1,13.5,0.016049382716049384
19,20,60,0,19.0,0.0008771929824561404
19,20,30,0,19.0,0.0017543859649122807
19,20,21,1,19.5,0.001221001221001221
19,20,90,0,19.0,0.0005847953216374269
18,20,60,0,18.0,0.001851851851851852
18,20,90,0,18.0,0.0012345679012345679
4,20,3,1,12.0,0.2222222222222222
3,20,3,1,11.5,0.2463768115942029
9,20,14,1,14.5,0.027093596059113302
1,20,5,1,10.5,0.18095238095238095
10,20,14,1,15.0,0.023809523809523808
2,20,7,1,11.0,0.11688311688311688
11,20,21,1,15.5,0.013824884792626729
17,20,60,0,17.0,0.0029411764705882353
5,20,14,1,12.5,0.04285714285714286
10,20,30,1,15.0,0.011111111111111112
9,20,30,1,14.5,0.01264367816091954
11,20,30,1,15.5,0.00967741935483871
10,20,60,0,10.0,0.016666666666666666
7,20,30,1,13.5,0.016049382716049384
9,20,60,1,14.5,0.00632183908045977
11,20,60,1,15.5,0.004838709677419355
12,20,60,1,16.0,0.004166666666666667
12,20,90,0,12.0,0.007407407407407408
8,20,60,1,14.0,0.007142857142857143
13,20,90,0,13.0,0.005982905982905983
7,20,60,1,13.5,0.008024691358024692
