Var1,Var2,Var4,Var5,V,k
5,10,60,1,7.5,0.005555555555555556
4,10,365,0,4.0,0.00410958904109589
6,10,60,0,6.0,0.011111111111111112
7,10,21,0,7.0,0.02040816326530612
5,10,14,1,7.5,0.023809523809523808
4,10,14,1,7.0,0.030612244897959183
3,10,14,0,3.0,0.16666666666666666
1,10,14,0,1.0,0.6428571428571429
9,10,30,1,9.5,0.0017543859649122807
1,10,21,0,1.0,0.42857142857142855
6,10,30,1,8.0,0.008333333333333333
1,10,30,0,1.0,0.3
8,10,30,1,9.0,0.003703703703703704
2,10,21,0,2.0,0.19047619047619047
2,10,30,0,2.0,0.13333333333333333
9,10,21,1,9.5,0.002506265664160401
2,10,14,1,6.0,0.047619047619047616
1,10,60,0,1.0,0.15
3,10,21,0,3.0,0.1111111111111111
7,10,30,0,7.0,0.014285714285714285
9,10,30,1,9.5,0.0017543859649122807
1,10,21,0,1.0,0.42857142857142855
8,10,21,1,9.0,0.005291005291005291
1,10,30,0,1.0,0.3
1,10,14,0,1.0,0.6428571428571429
8,10,30,0,8.0,0.008333333333333333
9,10,14,1,9.5,0.0037593984962406013
9,10,21,1,9.5,0.002506265664160401
2,10,21,0,2.0,0.19047619047619047
2,10,14,0,2.0,0.2857142857142857
7,10,21,1,8.5,0.008403361344537815
2,10,30,0,2.0,0.13333333333333333
9,10,30,1,9.5,0.0017543859649122807
1,10,21,0,1.0,0.42857142857142855
1,10,7,0,1.0,1.2857142857142858
8,10,21,1,9.0,0.005291005291005291
