Var1,Var2,Var4,Var5,V,k
5,10,60,1,7.5,0.005555555555555556
4,10,365,1,7.0,0.0011741682974559687
6,10,365,1,8.0,0.0006849315068493151
8,10,365,1,9.0,0.00030441400304414006
1,10,365,0,1.0,0.024657534246575342
1,10,90,0,1.0,0.1
1,10,60,1,5.5,0.013636363636363636
1,10,30,1,5.5,0.02727272727272727
1,10,180,1,5.5,0.004545454545454545
1,10,21,0,1.0,0.42857142857142855
2,10,60,1,6.0,0.011111111111111112
2,10,90,1,6.0,0.007407407407407408
1,10,14,0,1.0,0.6428571428571429
2,10,30,1,6.0,0.022222222222222223
2,10,21,0,2.0,0.19047619047619047
2,10,180,0,2.0,0.022222222222222223
3,10,60,1,6.5,0.008974358974358974
1,10,90,1,5.5,0.00909090909090909
1,10,60,0,1.0,0.15
1,10,30,0,1.0,0.3
1,10,180,0,1.0,0.05
1,10,21,0,1.0,0.42857142857142855
2,10,60,0,2.0,0.06666666666666667
3,10,30,1,6.5,0.017948717948717947
1,10,14,0,1.0,0.6428571428571429
2,10,30,0,2.0,0.13333333333333333
8,10,30,1,9.0,0.003703703703703704
2,10,21,1,6.0,0.031746031746031744
2,10,14,0,2.0,0.2857142857142857
1,10,90,0,1.0,0.1
1,10,60,0,1.0,0.15
9,10,30,1,9.5,0.0017543859649122807
1,10,30,0,1.0,0.3
1,10,21,0,1.0,0.42857142857142855
9,10,21,1,9.5,0.002506265664160401
3,10,30,0,3.0,0.07777777777777778
