Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,0,11.0,0.11688311688311688
9,20,5,1,14.5,0.07586206896551724
17,20,30,0,17.0,0.0058823529411764705
16,20,21,0,16.0,0.011904761904761904
12,20,2,1,16.0,0.125
8,20,21,0,8.0,0.07142857142857142
14,20,1,1,17.0,0.17647058823529413
10,20,7,0,10.0,0.14285714285714285
11,20,2,1,15.5,0.14516129032258066
10,20,6,0,10.0,0.16666666666666666
10,20,5,0,10.0,0.2
13,20,1,1,16.5,0.21212121212121213
10,20,4,1,15.0,0.08333333333333333
11,20,4,1,15.5,0.07258064516129033
11,20,7,0,11.0,0.11688311688311688
9,20,6,0,9.0,0.2037037037037037
10,20,3,1,15.0,0.1111111111111111
9,20,7,0,9.0,0.1746031746031746
9,20,5,0,9.0,0.24444444444444444
9,20,4,0,9.0,0.3055555555555556
9,20,3,1,14.5,0.12643678160919541
8,20,4,0,8.0,0.375
7,20,3,1,13.5,0.16049382716049382
8,20,3,1,14.0,0.14285714285714285
12,20,5,0,12.0,0.13333333333333333
10,20,4,0,10.0,0.25
7,20,4,0,7.0,0.4642857142857143
9,20,2,1,14.5,0.1896551724137931
6,20,4,0,6.0,0.5833333333333334
6,20,3,1,13.0,0.1794871794871795
8,20,2,1,14.0,0.21428571428571427
10,20,3,0,10.0,0.3333333333333333
10,20,2,0,10.0,0.5
7,20,2,1,13.5,0.24074074074074073
