Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,1,15.5,0.041474654377880185
7,20,30,1,13.5,0.016049382716049384
10,20,60,0,10.0,0.016666666666666666
13,20,60,0,13.0,0.008974358974358974
12,20,5,1,16.0,0.05
8,20,60,0,8.0,0.025
13,20,4,1,16.5,0.05303030303030303
7,20,90,0,7.0,0.020634920634920634
12,20,6,1,16.0,0.041666666666666664
9,20,21,1,14.5,0.0180623973727422
11,20,21,1,15.5,0.013824884792626729
9,20,60,0,9.0,0.020370370370370372
11,20,30,1,15.5,0.00967741935483871
16,20,90,0,16.0,0.002777777777777778
15,20,90,0,15.0,0.003703703703703704
10,20,21,1,15.0,0.015873015873015872
10,20,30,1,15.0,0.011111111111111112
11,20,60,0,11.0,0.013636363636363636
9,20,30,1,14.5,0.01264367816091954
12,20,21,1,16.0,0.011904761904761904
12,20,14,1,16.0,0.017857142857142856
7,20,60,0,7.0,0.030952380952380953
11,20,21,1,15.5,0.013824884792626729
8,20,30,1,14.0,0.014285714285714285
9,20,21,1,14.5,0.0180623973727422
11,20,30,1,15.5,0.00967741935483871
8,20,60,0,8.0,0.025
6,20,60,1,13.0,0.008974358974358974
10,20,30,1,15.0,0.011111111111111112
12,20,30,1,16.0,0.008333333333333333
9,20,60,0,9.0,0.020370370370370372
12,20,21,1,16.0,0.011904761904761904
13,20,30,1,16.5,0.007070707070707071
10,20,60,0,10.0,0.016666666666666666
