Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,0,5.0,0.07142857142857142
5,10,6,0,5.0,0.16666666666666666
4,10,5,0,4.0,0.3
9,10,7,0,9.0,0.015873015873015872
5,10,1,1,7.5,0.3333333333333333
6,10,7,0,6.0,0.09523809523809523
4,10,21,0,4.0,0.07142857142857142
6,10,6,0,6.0,0.1111111111111111
5,10,2,0,5.0,0.5
4,10,1,1,7.0,0.42857142857142855
5,10,7,0,5.0,0.14285714285714285
6,10,1,1,8.0,0.25
4,10,3,0,4.0,0.5
3,10,1,1,6.5,0.5384615384615384
4,10,2,0,4.0,0.75
5,10,5,0,5.0,0.2
5,10,1,1,7.5,0.3333333333333333
7,10,1,0,7.0,0.42857142857142855
3,10,3,0,3.0,0.7777777777777778
3,10,2,0,3.0,1.1666666666666667
2,10,2,0,2.0,2.0
2,10,1,1,6.0,0.6666666666666666
4,10,1,0,4.0,1.5
1,10,1,1,5.5,0.8181818181818182
6,10,1,1,8.0,0.25
3,10,1,1,6.5,0.5384615384615384
8,10,1,0,8.0,0.25
6,10,2,0,6.0,0.3333333333333333
5,10,1,1,7.5,0.3333333333333333
7,10,1,1,8.5,0.17647058823529413
4,10,2,0,4.0,0.75
3,10,2,0,3.0,1.1666666666666667
1,10,2,0,1.0,4.5
2,10,1,1,6.0,0.6666666666666666
4,10,1,1,7.0,0.42857142857142855
