Var1,Var2,Var4,Var5,V,k
4.5,10,60,0,4.5,0.020370370370370372
5.0,10,14,1,7.5,0.023809523809523808
3.5,10,60,0,3.5,0.030952380952380953
4.5,10,30,1,7.25,0.01264367816091954
5.5,10,90,0,5.5,0.00909090909090909
4.5,10,180,0,4.5,0.006790123456790123
5.5,10,5,1,7.75,0.05806451612903226
5.5,10,4,1,7.75,0.07258064516129033
5.0,10,180,0,5.0,0.005555555555555556
5.0,10,6,1,7.5,0.05555555555555555
4.0,10,180,0,4.0,0.008333333333333333
5.0,10,7,1,7.5,0.047619047619047616
5.0,10,30,1,7.5,0.011111111111111112
5.5,10,6,1,7.75,0.04838709677419355
5.5,10,30,1,7.75,0.00967741935483871
6.0,10,60,0,6.0,0.011111111111111112
6.0,10,30,1,8.0,0.008333333333333333
5.5,10,90,1,7.75,0.0032258064516129032
8.0,10,180,0,8.0,0.001388888888888889
7.5,10,180,0,7.5,0.001851851851851852
6.0,10,90,1,8.0,0.002777777777777778
9.5,10,365,0,9.5,0.00014419610670511897
9.0,10,365,0,9.0,0.00030441400304414006
9.5,10,180,0,9.5,0.00029239766081871346
0.5,10,30,1,5.25,0.03015873015873016
1.0,10,30,1,5.5,0.02727272727272727
4.5,10,60,1,7.25,0.00632183908045977
5.0,10,60,1,7.5,0.005555555555555556
1.0,10,60,1,5.5,0.013636363636363636
4.0,10,90,0,4.0,0.016666666666666666
4.0,10,60,1,7.0,0.007142857142857143
4.5,10,90,1,7.25,0.00421455938697318
5.0,10,90,1,7.5,0.003703703703703704
5.5,10,90,0,5.5,0.00909090909090909
6.0,10,90,0,6.0,0.007407407407407408
5.5,10,60,0,5.5,0.013636363636363636
