Var1,Var2,Var4,Var5,V,k
5,10,60,1,7.5,0.005555555555555556
4,10,365,0,4.0,0.00410958904109589
6,10,60,1,8.0,0.004166666666666667
6,10,90,1,8.0,0.002777777777777778
1,10,30,0,1.0,0.3
1,10,21,1,5.5,0.03896103896103896
1,10,60,0,1.0,0.15
1,10,14,1,5.5,0.05844155844155844
2,10,30,0,2.0,0.13333333333333333
2,10,21,1,6.0,0.031746031746031744
1,10,90,0,1.0,0.1
2,10,14,0,2.0,0.2857142857142857
3,10,21,1,6.5,0.02564102564102564
1,10,7,1,5.5,0.11688311688311688
1,10,6,0,1.0,1.5
3,10,30,1,6.5,0.017948717948717947
1,10,30,0,1.0,0.3
1,10,21,0,1.0,0.42857142857142855
3,10,14,1,6.5,0.038461538461538464
1,10,14,1,5.5,0.05844155844155844
2,10,30,0,2.0,0.13333333333333333
2,10,21,1,6.0,0.031746031746031744
1,10,60,0,1.0,0.15
2,10,14,0,2.0,0.2857142857142857
9,10,30,1,9.5,0.0017543859649122807
1,10,7,0,1.0,1.2857142857142858
3,10,21,0,3.0,0.1111111111111111
8,10,30,1,9.0,0.003703703703703704
1,10,30,0,1.0,0.3
1,10,21,0,1.0,0.42857142857142855
3,10,14,0,3.0,0.16666666666666666
9,10,21,1,9.5,0.002506265664160401
1,10,14,0,1.0,0.6428571428571429
8,10,21,1,9.0,0.005291005291005291
2,10,21,0,2.0,0.19047619047619047
2,10,30,0,2.0,0.13333333333333333
