Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,0,9.0,0.006790123456790123
11,20,60,0,11.0,0.013636363636363636
14,20,21,0,14.0,0.02040816326530612
12,20,14,1,16.0,0.017857142857142856
6,20,14,1,13.0,0.038461538461538464
3,20,14,1,11.5,0.052795031055900624
8,20,180,0,8.0,0.008333333333333333
11,20,21,0,11.0,0.03896103896103896
1,20,5,1,10.5,0.18095238095238095
1,20,4,1,10.5,0.2261904761904762
19,20,90,0,19.0,0.0005847953216374269
1,20,6,1,10.5,0.15079365079365079
11,20,30,0,11.0,0.02727272727272727
4,20,6,1,12.0,0.1111111111111111
9,20,14,1,14.5,0.027093596059113302
10,20,30,0,10.0,0.03333333333333333
10,20,14,1,15.0,0.023809523809523808
12,20,30,0,12.0,0.022222222222222223
9,20,21,1,14.5,0.0180623973727422
11,20,21,0,11.0,0.03896103896103896
8,20,14,1,14.0,0.030612244897959183
8,20,21,1,14.0,0.02040816326530612
9,20,30,0,9.0,0.040740740740740744
10,20,21,0,10.0,0.047619047619047616
7,20,21,1,13.5,0.02292768959435626
8,20,30,1,14.0,0.014285714285714285
12,20,21,0,12.0,0.031746031746031744
9,20,14,1,14.5,0.027093596059113302
10,20,30,0,10.0,0.03333333333333333
12,20,14,0,12.0,0.047619047619047616
9,20,21,1,14.5,0.0180623973727422
11,20,14,0,11.0,0.05844155844155844
10,20,14,0,10.0,0.07142857142857142
8,20,21,1,14.0,0.02040816326530612
11,20,21,0,11.0,0.03896103896103896
