Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,1,14.5,0.00210727969348659
10,20,365,1,15.0,0.0009132420091324201
13,20,365,0,13.0,0.0014752370916754477
1,20,90,1,10.5,0.010052910052910053
2,20,90,1,11.0,0.00909090909090909
1,20,180,1,10.5,0.0050264550264550265
2,20,180,1,11.0,0.004545454545454545
14,20,365,0,14.0,0.0011741682974559687
11,20,180,1,15.5,0.0016129032258064516
15,20,365,0,15.0,0.0009132420091324201
11,20,365,1,15.5,0.0007954043305346885
12,20,180,1,16.0,0.001388888888888889
12,20,365,1,16.0,0.0006849315068493151
16,20,365,0,16.0,0.0006849315068493151
13,20,365,1,16.5,0.00058115400581154
17,20,365,0,17.0,0.00048348106365834006
10,20,365,1,15.0,0.0009132420091324201
17,20,6,0,17.0,0.029411764705882353
18,20,365,0,18.0,0.00030441400304414006
19,20,365,0,19.0,0.00014419610670511897
8,20,365,1,14.0,0.0011741682974559687
7,20,365,1,13.5,0.0013191273465246068
6,20,365,1,13.0,0.0014752370916754477
14,20,365,0,14.0,0.0011741682974559687
11,20,365,1,15.5,0.0007954043305346885
12,20,365,1,16.0,0.0006849315068493151
13,20,365,1,16.5,0.00058115400581154
15,20,365,0,15.0,0.0009132420091324201
16,20,365,0,16.0,0.0006849315068493151
10,20,365,1,15.0,0.0009132420091324201
9,20,365,1,14.5,0.0010392064241851677
13,20,180,1,16.5,0.0011784511784511784
14,20,180,0,14.0,0.002380952380952381
17,20,365,0,17.0,0.00048348106365834006
16,20,180,0,16.0,0.001388888888888889
