Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,0,9.0,0.006790123456790123
11,20,60,0,11.0,0.013636363636363636
14,20,21,0,14.0,0.02040816326530612
12,20,14,0,12.0,0.047619047619047616
19,20,21,0,19.0,0.002506265664160401
19,20,14,0,19.0,0.0037593984962406013
13,20,4,1,16.5,0.05303030303030303
19,20,60,0,19.0,0.0008771929824561404
8,20,4,1,14.0,0.10714285714285714
4,20,3,1,12.0,0.2222222222222222
11,20,21,1,15.5,0.013824884792626729
1,20,5,1,10.5,0.18095238095238095
2,20,6,1,11.0,0.13636363636363635
10,20,30,1,15.0,0.011111111111111112
4,20,14,1,12.0,0.047619047619047616
9,20,30,1,14.5,0.01264367816091954
14,20,90,0,14.0,0.004761904761904762
11,20,30,1,15.5,0.00967741935483871
8,20,30,1,14.0,0.014285714285714285
10,20,60,1,15.0,0.005555555555555556
11,20,90,0,11.0,0.00909090909090909
8,20,60,1,14.0,0.007142857142857143
7,20,60,1,13.5,0.008024691358024692
11,20,60,1,15.5,0.004838709677419355
10,20,90,0,10.0,0.011111111111111112
9,20,60,1,14.5,0.00632183908045977
9,20,90,0,9.0,0.013580246913580247
6,20,60,1,13.0,0.008974358974358974
8,20,90,1,14.0,0.004761904761904762
12,20,60,0,12.0,0.011111111111111112
7,20,90,1,13.5,0.005349794238683128
10,20,60,1,15.0,0.005555555555555556
11,20,90,0,11.0,0.00909090909090909
8,20,60,1,14.0,0.007142857142857143
13,20,30,0,13.0,0.017948717948717947
