Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,0,11.0,0.11688311688311688
9,20,5,1,14.5,0.07586206896551724
17,20,30,0,17.0,0.0058823529411764705
16,20,21,0,16.0,0.011904761904761904
12,20,2,1,16.0,0.125
8,20,21,0,8.0,0.07142857142857142
14,20,1,1,17.0,0.17647058823529413
10,20,7,1,15.0,0.047619047619047616
9,20,21,0,9.0,0.0582010582010582
10,20,4,1,15.0,0.08333333333333333
9,20,14,0,9.0,0.0873015873015873
11,20,6,1,15.5,0.04838709677419355
10,20,14,0,10.0,0.07142857142857142
11,20,7,1,15.5,0.041474654377880185
12,20,7,1,16.0,0.03571428571428571
11,20,14,0,11.0,0.05844155844155844
10,20,6,0,10.0,0.16666666666666666
15,20,30,0,15.0,0.011111111111111112
7,20,4,1,13.5,0.12037037037037036
9,20,7,0,9.0,0.1746031746031746
4,20,2,1,12.0,0.3333333333333333
3,20,3,1,11.5,0.2463768115942029
6,20,5,1,13.0,0.1076923076923077
10,20,7,1,15.0,0.047619047619047616
11,20,6,1,15.5,0.04838709677419355
11,20,7,0,11.0,0.11688311688311688
8,20,7,1,14.0,0.061224489795918366
12,20,7,0,12.0,0.09523809523809523
10,20,6,1,15.0,0.05555555555555555
12,20,6,0,12.0,0.1111111111111111
9,20,6,1,14.5,0.06321839080459771
9,20,7,1,14.5,0.054187192118226604
13,20,6,0,13.0,0.08974358974358974
8,20,14,1,14.0,0.030612244897959183
