Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,1,15.5,0.041474654377880185
7,20,30,1,13.5,0.016049382716049384
10,20,60,0,10.0,0.016666666666666666
13,20,60,0,13.0,0.008974358974358974
12,20,5,1,16.0,0.05
8,20,60,0,8.0,0.025
13,20,4,1,16.5,0.05303030303030303
7,20,90,0,7.0,0.020634920634920634
12,20,6,1,16.0,0.041666666666666664
9,20,21,0,9.0,0.0582010582010582
14,20,3,1,17.0,0.058823529411764705
10,20,14,1,15.0,0.023809523809523808
10,20,30,0,10.0,0.03333333333333333
11,20,14,0,11.0,0.05844155844155844
8,20,21,0,8.0,0.07142857142857142
11,20,7,0,11.0,0.11688311688311688
6,20,4,1,13.0,0.1346153846153846
6,20,5,1,13.0,0.1076923076923077
10,20,7,0,10.0,0.14285714285714285
19,20,30,0,19.0,0.0017543859649122807
17,20,60,0,17.0,0.0029411764705882353
3,20,4,1,11.5,0.18478260869565216
6,20,7,1,13.0,0.07692307692307693
7,20,7,1,13.5,0.06878306878306878
8,20,14,1,14.0,0.030612244897959183
9,20,14,0,9.0,0.0873015873015873
8,20,7,1,14.0,0.061224489795918366
10,20,14,0,10.0,0.07142857142857142
7,20,14,0,7.0,0.1326530612244898
9,20,7,1,14.5,0.054187192118226604
10,20,7,1,15.0,0.047619047619047616
12,20,7,1,16.0,0.03571428571428571
11,20,14,0,11.0,0.05844155844155844
13,20,7,1,16.5,0.030303030303030304
