Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,0,5.0,0.07142857142857142
5,10,6,1,7.5,0.05555555555555555
2,10,60,0,2.0,0.06666666666666667
8,10,30,0,8.0,0.008333333333333333
6,10,30,0,6.0,0.022222222222222223
5,10,2,1,7.5,0.16666666666666666
4,10,60,0,4.0,0.025
4,10,90,0,4.0,0.016666666666666666
5,10,3,1,7.5,0.1111111111111111
5,10,7,0,5.0,0.14285714285714285
5,10,30,0,5.0,0.03333333333333333
4,10,3,1,7.0,0.14285714285714285
6,10,5,0,6.0,0.13333333333333333
5,10,5,0,5.0,0.2
4,10,2,1,7.0,0.21428571428571427
5,10,4,0,5.0,0.25
5,10,1,1,7.5,0.3333333333333333
4,10,5,0,4.0,0.3
5,10,2,1,7.5,0.16666666666666666
6,10,3,1,8.0,0.08333333333333333
6,10,7,0,6.0,0.09523809523809523
5,10,3,1,7.5,0.1111111111111111
6,10,4,0,6.0,0.16666666666666666
4,10,6,0,4.0,0.25
4,10,4,0,4.0,0.375
4,10,3,1,7.0,0.14285714285714285
5,10,5,0,5.0,0.2
5,10,4,0,5.0,0.25
3,10,5,0,3.0,0.4666666666666667
3,10,4,0,3.0,0.5833333333333334
5,10,2,0,5.0,0.5
4,10,2,1,7.0,0.21428571428571427
3,10,3,0,3.0,0.7777777777777778
3,10,2,1,6.5,0.2692307692307692
2,10,3,0,2.0,1.3333333333333333
