Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,0,5.0,0.07142857142857142
5,10,6,0,5.0,0.16666666666666666
4,10,5,0,4.0,0.3
9,10,7,1,9.5,0.007518796992481203
9,10,21,0,9.0,0.005291005291005291
9,10,14,1,9.5,0.0037593984962406013
9,10,30,0,9.0,0.003703703703703704
8,10,21,0,8.0,0.011904761904761904
9,10,60,0,9.0,0.001851851851851852
8,10,14,0,8.0,0.017857142857142856
9,10,6,0,9.0,0.018518518518518517
9,10,5,0,9.0,0.022222222222222223
9,10,4,0,9.0,0.027777777777777776
9,10,3,0,9.0,0.037037037037037035
8,10,7,0,8.0,0.03571428571428571
5,10,1,1,7.5,0.3333333333333333
9,10,21,0,9.0,0.005291005291005291
4,10,1,1,7.0,0.42857142857142855
9,10,7,0,9.0,0.015873015873015872
5,10,2,1,7.5,0.16666666666666666
4,10,2,1,7.0,0.21428571428571427
5,10,7,0,5.0,0.14285714285714285
5,10,3,1,7.5,0.1111111111111111
6,10,5,0,6.0,0.13333333333333333
3,10,3,1,6.5,0.1794871794871795
5,10,5,0,5.0,0.2
5,10,4,1,7.5,0.08333333333333333
6,10,6,1,8.0,0.041666666666666664
1,10,2,1,5.5,0.4090909090909091
6,10,7,0,6.0,0.09523809523809523
5,10,6,1,7.5,0.05555555555555555
1,10,3,1,5.5,0.2727272727272727
7,10,5,0,7.0,0.08571428571428572
4,10,4,1,7.0,0.10714285714285714
5,10,7,1,7.5,0.047619047619047616
