Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,1,15.5,0.041474654377880185
7,20,30,1,13.5,0.016049382716049384
10,20,60,0,10.0,0.016666666666666666
13,20,60,0,13.0,0.008974358974358974
12,20,5,0,12.0,0.13333333333333333
19,20,30,0,19.0,0.0017543859649122807
19,20,21,0,19.0,0.002506265664160401
19,20,60,0,19.0,0.0008771929824561404
10,20,3,1,15.0,0.1111111111111111
5,20,3,1,12.5,0.2
3,20,3,1,11.5,0.2463768115942029
12,20,7,0,12.0,0.09523809523809523
3,20,2,1,11.5,0.3695652173913043
10,20,7,0,10.0,0.14285714285714285
18,20,21,0,18.0,0.005291005291005291
10,20,5,0,10.0,0.2
5,20,2,1,12.5,0.3
9,20,5,1,14.5,0.07586206896551724
11,20,7,1,15.5,0.041474654377880185
13,20,14,0,13.0,0.038461538461538464
8,20,6,1,14.0,0.07142857142857142
9,20,7,1,14.5,0.054187192118226604
11,20,14,1,15.5,0.020737327188940093
12,20,14,1,16.0,0.017857142857142856
12,20,21,1,16.0,0.011904761904761904
13,20,21,1,16.5,0.010101010101010102
13,20,30,0,13.0,0.017948717948717947
16,20,30,1,18.0,0.003703703703703704
17,20,60,1,18.5,0.0013513513513513514
16,20,60,0,16.0,0.004166666666666667
18,20,60,0,18.0,0.001851851851851852
5,20,21,1,12.5,0.02857142857142857
19,20,60,0,19.0,0.0008771929824561404
18,20,90,0,18.0,0.0012345679012345679
