Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,0,9.0,0.006790123456790123
11,20,60,0,11.0,0.013636363636363636
14,20,21,0,14.0,0.02040816326530612
12,20,14,0,12.0,0.047619047619047616
19,20,21,0,19.0,0.002506265664160401
19,20,14,0,19.0,0.0037593984962406013
13,20,4,1,16.5,0.05303030303030303
19,20,60,0,19.0,0.0008771929824561404
8,20,4,0,8.0,0.375
18,20,14,0,18.0,0.007936507936507936
19,20,7,0,19.0,0.007518796992481203
12,20,3,1,16.0,0.08333333333333333
5,20,2,1,12.5,0.3
4,20,2,1,12.0,0.3333333333333333
5,20,3,1,12.5,0.2
10,20,7,0,10.0,0.14285714285714285
19,20,30,0,19.0,0.0017543859649122807
3,20,2,1,11.5,0.3695652173913043
10,20,6,0,10.0,0.16666666666666666
9,20,4,0,9.0,0.3055555555555556
9,20,3,0,9.0,0.4074074074074074
10,20,2,1,15.0,0.16666666666666666
19,20,7,0,19.0,0.007518796992481203
10,20,3,0,10.0,0.3333333333333333
7,20,2,1,13.5,0.24074074074074073
11,20,3,0,11.0,0.2727272727272727
12,20,3,0,12.0,0.2222222222222222
11,20,2,1,15.5,0.14516129032258066
13,20,3,0,13.0,0.1794871794871795
8,20,2,1,14.0,0.21428571428571427
11,20,4,0,11.0,0.20454545454545456
12,20,2,0,12.0,0.3333333333333333
9,20,2,0,9.0,0.6111111111111112
6,20,2,1,13.0,0.2692307692307692
10,20,2,1,15.0,0.16666666666666666
