Var1,Var2,Var4,Var5,V,k
5,10,60,1,7.5,0.005555555555555556
4,10,365,0,4.0,0.00410958904109589
6,10,60,1,8.0,0.004166666666666667
6,10,90,1,8.0,0.002777777777777778
1,10,30,1,5.5,0.02727272727272727
1,10,60,1,5.5,0.013636363636363636
5,10,30,1,7.5,0.011111111111111112
6,10,365,0,6.0,0.0018264840182648401
6,10,21,1,8.0,0.011904761904761904
7,10,365,0,7.0,0.0011741682974559687
6,10,14,1,8.0,0.017857142857142856
5,10,180,0,5.0,0.005555555555555556
4,10,60,1,7.0,0.007142857142857143
4,10,180,1,7.0,0.002380952380952381
5,10,365,0,5.0,0.0027397260273972603
6,10,180,1,8.0,0.001388888888888889
8,10,180,1,9.0,0.0006172839506172839
1,10,60,1,5.5,0.013636363636363636
8,10,365,0,8.0,0.0006849315068493151
9,10,365,0,9.0,0.00030441400304414006
6,10,365,0,6.0,0.0018264840182648401
7,10,365,0,7.0,0.0011741682974559687
4,10,365,1,7.0,0.0011741682974559687
5,10,180,1,7.5,0.001851851851851852
3,10,180,1,6.5,0.0029914529914529917
4,10,180,1,7.0,0.002380952380952381
5,10,365,0,5.0,0.0027397260273972603
3,10,365,1,6.5,0.0014752370916754477
6,10,180,1,8.0,0.001388888888888889
2,10,365,1,6.0,0.0018264840182648401
7,10,180,1,8.5,0.000980392156862745
1,10,365,1,5.5,0.00224159402241594
6,10,365,0,6.0,0.0018264840182648401
5,10,90,1,7.5,0.003703703703703704
4,10,365,0,4.0,0.00410958904109589
5,10,180,1,7.5,0.001851851851851852
