Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,0,5.0,0.07142857142857142
5,10,6,0,5.0,0.16666666666666666
4,10,5,0,4.0,0.3
9,10,7,0,9.0,0.015873015873015872
5,10,1,1,7.5,0.3333333333333333
6,10,7,0,6.0,0.09523809523809523
4,10,21,0,4.0,0.07142857142857142
6,10,6,0,6.0,0.1111111111111111
5,10,2,1,7.5,0.16666666666666666
4,10,30,0,4.0,0.05
4,10,2,1,7.0,0.21428571428571427
5,10,3,1,7.5,0.1111111111111111
5,10,14,0,5.0,0.07142857142857142
4,10,4,1,7.0,0.10714285714285714
5,10,4,1,7.5,0.08333333333333333
5,10,5,0,5.0,0.2
4,10,5,0,4.0,0.3
5,10,1,1,7.5,0.3333333333333333
4,10,3,1,7.0,0.14285714285714285
6,10,3,0,6.0,0.2222222222222222
6,10,2,1,8.0,0.125
4,10,6,0,4.0,0.25
7,10,2,1,8.5,0.08823529411764706
5,10,3,1,7.5,0.1111111111111111
6,10,4,0,6.0,0.16666666666666666
4,10,4,0,4.0,0.375
5,10,4,0,5.0,0.25
5,10,2,1,7.5,0.16666666666666666
4,10,5,0,4.0,0.3
3,10,5,1,6.5,0.1076923076923077
5,10,5,0,5.0,0.2
6,10,3,0,6.0,0.2222222222222222
6,10,2,1,8.0,0.125
4,10,3,1,7.0,0.14285714285714285
4,10,6,0,4.0,0.25
