Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,0,9.0,0.006790123456790123
11,20,60,0,11.0,0.013636363636363636
14,20,21,1,17.0,0.008403361344537815
2,20,14,1,11.0,0.05844155844155844
3,20,21,1,11.5,0.035196687370600416
8,20,180,0,8.0,0.008333333333333333
13,20,14,1,16.5,0.015151515151515152
6,20,365,0,6.0,0.006392694063926941
12,20,21,1,16.0,0.011904761904761904
15,20,7,1,17.5,0.02040816326530612
15,20,6,1,17.5,0.023809523809523808
10,20,60,1,15.0,0.005555555555555556
9,20,90,1,14.5,0.00421455938697318
9,20,180,1,14.5,0.00210727969348659
13,20,365,0,13.0,0.0014752370916754477
14,20,365,0,14.0,0.0011741682974559687
13,20,180,1,16.5,0.0011784511784511784
17,20,365,0,17.0,0.00048348106365834006
18,20,365,0,18.0,0.00030441400304414006
19,20,365,0,19.0,0.00014419610670511897
1,20,60,1,10.5,0.01507936507936508
8,20,180,1,14.0,0.002380952380952381
2,20,60,1,11.0,0.013636363636363636
10,20,180,1,15.0,0.001851851851851852
11,20,180,1,15.5,0.0016129032258064516
12,20,180,1,16.0,0.001388888888888889
10,20,365,0,10.0,0.0027397260273972603
3,20,90,1,11.5,0.00821256038647343
9,20,180,1,14.5,0.00210727969348659
8,20,365,0,8.0,0.00410958904109589
4,20,180,1,12.0,0.003703703703703704
2,20,180,1,11.0,0.004545454545454545
3,20,180,1,11.5,0.004106280193236715
13,20,180,1,16.5,0.0011784511784511784
11,20,365,0,11.0,0.00224159402241594
