Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,1,14.5,0.00210727969348659
10,20,365,0,10.0,0.0027397260273972603
13,20,90,1,16.5,0.0023569023569023568
1,20,60,1,10.5,0.01507936507936508
2,20,60,1,11.0,0.013636363636363636
11,20,365,0,11.0,0.00224159402241594
12,20,60,1,16.0,0.004166666666666667
14,20,30,1,17.0,0.0058823529411764705
12,20,365,0,12.0,0.0018264840182648401
11,20,180,1,15.5,0.0016129032258064516
9,20,365,0,9.0,0.0033485540334855404
13,20,60,1,16.5,0.0035353535353535356
8,20,365,0,8.0,0.00410958904109589
10,20,365,0,10.0,0.0027397260273972603
10,20,180,1,15.0,0.001851851851851852
7,20,365,0,7.0,0.005088062622309198
11,20,90,1,15.5,0.0032258064516129032
9,20,180,1,14.5,0.00210727969348659
12,20,180,1,16.0,0.001388888888888889
13,20,180,1,16.5,0.0011784511784511784
12,20,365,0,12.0,0.0018264840182648401
11,20,365,0,11.0,0.00224159402241594
11,20,180,1,15.5,0.0016129032258064516
9,20,365,0,9.0,0.0033485540334855404
6,20,365,0,6.0,0.006392694063926941
15,20,180,0,15.0,0.001851851851851852
10,20,180,1,15.0,0.001851851851851852
8,20,180,1,14.0,0.002380952380952381
8,20,365,0,8.0,0.00410958904109589
9,20,180,1,14.5,0.00210727969348659
7,20,365,0,7.0,0.005088062622309198
5,20,365,1,12.5,0.0016438356164383563
7,20,180,1,13.5,0.002674897119341564
12,20,180,1,16.0,0.001388888888888889
11,20,180,1,15.5,0.0016129032258064516
