Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,0,9.0,0.006790123456790123
11,20,60,0,11.0,0.013636363636363636
14,20,21,1,17.0,0.008403361344537815
2,20,14,1,11.0,0.05844155844155844
3,20,21,1,11.5,0.035196687370600416
8,20,180,0,8.0,0.008333333333333333
13,20,14,1,16.5,0.015151515151515152
6,20,365,0,6.0,0.006392694063926941
12,20,21,1,16.0,0.011904761904761904
15,20,7,1,17.5,0.02040816326530612
15,20,6,1,17.5,0.023809523809523808
10,20,60,0,10.0,0.016666666666666666
15,20,5,1,17.5,0.02857142857142857
10,20,90,0,10.0,0.011111111111111112
9,20,60,1,14.5,0.00632183908045977
8,20,90,0,8.0,0.016666666666666666
7,20,90,0,7.0,0.020634920634920634
10,20,30,1,15.0,0.011111111111111112
8,20,60,0,8.0,0.025
11,20,60,0,11.0,0.013636363636363636
11,20,30,1,15.5,0.00967741935483871
7,20,60,0,7.0,0.030952380952380953
8,20,30,1,14.0,0.014285714285714285
10,20,60,0,10.0,0.016666666666666666
9,20,30,1,14.5,0.01264367816091954
6,20,60,0,6.0,0.03888888888888889
13,20,60,0,13.0,0.008974358974358974
10,20,21,1,15.0,0.015873015873015872
11,20,21,1,15.5,0.013824884792626729
10,20,30,1,15.0,0.011111111111111112
8,20,60,0,8.0,0.025
5,20,60,0,5.0,0.05
11,20,30,1,15.5,0.00967741935483871
12,20,30,0,12.0,0.022222222222222223
7,20,60,0,7.0,0.030952380952380953
