Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,1,7.5,0.023809523809523808
3,10,90,0,3.0,0.025925925925925925
3,10,60,1,6.5,0.008974358974358974
4,10,180,0,4.0,0.008333333333333333
5,10,6,1,7.5,0.05555555555555555
5,10,180,0,5.0,0.005555555555555556
6,10,4,1,8.0,0.0625
4,10,365,0,4.0,0.00410958904109589
5,10,7,1,7.5,0.047619047619047616
6,10,3,0,6.0,0.2222222222222222
9,10,180,0,9.0,0.0006172839506172839
1,10,5,1,5.5,0.16363636363636364
8,10,180,0,8.0,0.001388888888888889
4,10,14,1,7.0,0.030612244897959183
5,10,90,0,5.0,0.011111111111111112
5,10,14,1,7.5,0.023809523809523808
5,10,30,1,7.5,0.011111111111111112
6,10,5,1,8.0,0.05
5,10,60,0,5.0,0.016666666666666666
5,10,21,1,7.5,0.015873015873015872
6,10,30,0,6.0,0.022222222222222223
4,10,30,1,7.0,0.014285714285714285
6,10,21,1,8.0,0.011904761904761904
4,10,60,0,4.0,0.025
3,10,60,0,3.0,0.03888888888888889
4,10,21,1,7.0,0.02040816326530612
3,10,30,1,6.5,0.017948717948717947
7,10,21,1,8.5,0.008403361344537815
7,10,30,1,8.5,0.0058823529411764705
6,10,60,0,6.0,0.011111111111111112
5,10,60,0,5.0,0.016666666666666666
5,10,30,0,5.0,0.03333333333333333
6,10,30,1,8.0,0.008333333333333333
4,10,30,0,4.0,0.05
8,10,30,1,9.0,0.003703703703703704
