Var1,Var2,Var4,Var5,V,k
4.5,10,60,0,4.5,0.020370370370370372
5.0,10,14,0,5.0,0.07142857142857142
5.0,10,6,0,5.0,0.16666666666666666
4.0,10,5,0,4.0,0.3
9.5,10,7,0,9.5,0.007518796992481203
4.5,10,1,0,4.5,1.2222222222222223
5.5,10,2,0,5.5,0.4090909090909091
5.0,10,2,0,5.0,0.5
3.0,10,1,1,6.5,0.5384615384615384
5.5,10,3,0,5.5,0.2727272727272727
5.0,10,3,0,5.0,0.3333333333333333
3.5,10,1,1,6.75,0.48148148148148145
4.5,10,5,0,4.5,0.24444444444444444
5.0,10,1,1,7.5,0.3333333333333333
4.5,10,6,0,4.5,0.2037037037037037
5.5,10,1,0,5.5,0.8181818181818182
4.0,10,1,1,7.0,0.42857142857142855
4.5,10,1,1,7.25,0.3793103448275862
6.0,10,1,0,6.0,0.6666666666666666
4.0,10,2,1,7.0,0.21428571428571427
3.0,10,1,1,6.5,0.5384615384615384
6.5,10,1,0,6.5,0.5384615384615384
5.0,10,2,1,7.5,0.16666666666666666
3.5,10,1,1,6.75,0.48148148148148145
5.5,10,2,0,5.5,0.4090909090909091
7.0,10,1,1,8.5,0.17647058823529413
5.0,10,1,1,7.5,0.3333333333333333
6.5,10,2,0,6.5,0.2692307692307692
7.0,10,2,0,7.0,0.21428571428571427
4.5,10,2,1,7.25,0.1896551724137931
6.0,10,2,0,6.0,0.3333333333333333
7.5,10,1,0,7.5,0.3333333333333333
8.0,10,1,0,8.0,0.25
6.5,10,1,1,8.25,0.21212121212121213
4.0,10,2,1,7.0,0.21428571428571427
5.0,10,2,0,5.0,0.5
6.0,10,1,1,8.0,0.25
5.5,10,2,1,7.75,0.14516129032258066
3.5,10,2,1,6.75,0.24074074074074073
3.5,10,3,0,3.5,0.6190476190476191
5.5,10,1,1,7.75,0.2903225806451613
