Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,1,15.5,0.041474654377880185
7,20,30,0,7.0,0.06190476190476191
17,20,30,0,17.0,0.0058823529411764705
12,20,3,1,16.0,0.08333333333333333
7,20,60,0,7.0,0.030952380952380953
13,20,3,1,16.5,0.0707070707070707
6,20,90,0,6.0,0.025925925925925925
12,20,4,1,16.0,0.0625
9,20,14,1,14.5,0.027093596059113302
10,20,14,0,10.0,0.07142857142857142
14,20,2,1,17.0,0.08823529411764706
12,20,7,1,16.0,0.03571428571428571
11,20,14,1,15.5,0.020737327188940093
10,20,30,0,10.0,0.03333333333333333
11,20,21,0,11.0,0.03896103896103896
8,20,14,1,14.0,0.030612244897959183
8,20,21,0,8.0,0.07142857142857142
9,20,21,0,9.0,0.0582010582010582
7,20,21,0,7.0,0.08843537414965986
11,20,7,1,15.5,0.041474654377880185
9,20,14,1,14.5,0.027093596059113302
10,20,14,0,10.0,0.07142857142857142
6,20,21,1,13.0,0.02564102564102564
12,20,7,1,16.0,0.03571428571428571
13,20,7,1,16.5,0.030303030303030304
11,20,14,1,15.5,0.020737327188940093
12,20,14,1,16.0,0.017857142857142856
10,20,21,0,10.0,0.047619047619047616
11,20,21,0,11.0,0.03896103896103896
9,20,21,0,9.0,0.0582010582010582
8,20,21,1,14.0,0.02040816326530612
7,20,21,1,13.5,0.02292768959435626
8,20,30,0,8.0,0.05
10,20,14,1,15.0,0.023809523809523808
