Var1,Var2,Var4,Var5,V,k
5,10,60,1,7.5,0.005555555555555556
4,10,365,0,4.0,0.00410958904109589
6,10,60,1,8.0,0.004166666666666667
6,10,90,1,8.0,0.002777777777777778
1,10,30,1,5.5,0.02727272727272727
1,10,60,1,5.5,0.013636363636363636
5,10,30,1,7.5,0.011111111111111112
6,10,365,0,6.0,0.0018264840182648401
6,10,21,1,8.0,0.011904761904761904
7,10,365,0,7.0,0.0011741682974559687
6,10,14,1,8.0,0.017857142857142856
5,10,180,0,5.0,0.005555555555555556
4,10,60,1,7.0,0.007142857142857143
4,10,180,0,4.0,0.008333333333333333
5,10,365,0,5.0,0.0027397260273972603
6,10,180,0,6.0,0.003703703703703704
5,10,90,1,7.5,0.003703703703703704
6,10,90,1,8.0,0.002777777777777778
3,10,180,0,3.0,0.012962962962962963
7,10,180,0,7.0,0.002380952380952381
6,10,365,0,6.0,0.0018264840182648401
3,10,90,1,6.5,0.005982905982905983
4,10,90,1,7.0,0.004761904761904762
6,10,60,1,8.0,0.004166666666666667
5,10,180,0,5.0,0.005555555555555556
4,10,180,0,4.0,0.008333333333333333
5,10,60,1,7.5,0.005555555555555556
2,10,180,0,2.0,0.022222222222222223
5,10,90,1,7.5,0.003703703703703704
6,10,90,1,8.0,0.002777777777777778
3,10,180,0,3.0,0.012962962962962963
7,10,90,1,8.5,0.00196078431372549
6,10,180,0,6.0,0.003703703703703704
8,10,90,1,9.0,0.0012345679012345679
7,10,180,0,7.0,0.002380952380952381
4,10,90,1,7.0,0.004761904761904762
