Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,1,7.5,0.023809523809523808
3,10,90,1,6.5,0.005982905982905983
3,10,180,0,3.0,0.012962962962962963
3,10,7,0,3.0,0.3333333333333333
4,10,21,0,4.0,0.07142857142857142
9,10,30,0,9.0,0.003703703703703704
9,10,21,0,9.0,0.005291005291005291
9,10,14,0,9.0,0.007936507936507936
9,10,60,0,9.0,0.001851851851851852
9,10,7,0,9.0,0.015873015873015872
9,10,6,0,9.0,0.018518518518518517
9,10,5,0,9.0,0.022222222222222223
9,10,4,0,9.0,0.027777777777777776
9,10,3,0,9.0,0.037037037037037035
8,10,2,0,8.0,0.125
6,10,1,1,8.0,0.25
5,10,1,1,7.5,0.3333333333333333
6,10,3,1,8.0,0.08333333333333333
6,10,2,1,8.0,0.125
5,10,5,1,7.5,0.06666666666666667
5,10,4,1,7.5,0.08333333333333333
5,10,6,1,7.5,0.05555555555555555
4,10,7,1,7.0,0.061224489795918366
5,10,7,1,7.5,0.047619047619047616
4,10,6,1,7.0,0.07142857142857142
5,10,14,1,7.5,0.023809523809523808
5,10,21,1,7.5,0.015873015873015872
6,10,30,0,6.0,0.022222222222222223
4,10,14,0,4.0,0.10714285714285714
1,10,4,1,5.5,0.20454545454545456
3,10,14,1,6.5,0.038461538461538464
4,10,21,1,7.0,0.02040816326530612
6,10,14,1,8.0,0.017857142857142856
6,10,21,1,8.0,0.011904761904761904
5,10,30,0,5.0,0.03333333333333333
