Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,1,15.5,0.041474654377880185
7,20,30,0,7.0,0.06190476190476191
17,20,30,0,17.0,0.0058823529411764705
12,20,3,1,16.0,0.08333333333333333
7,20,60,0,7.0,0.030952380952380953
13,20,3,1,16.5,0.0707070707070707
6,20,90,0,6.0,0.025925925925925925
12,20,4,0,12.0,0.16666666666666666
19,20,30,0,19.0,0.0017543859649122807
19,20,60,0,19.0,0.0008771929824561404
6,20,3,1,13.0,0.1794871794871795
12,20,7,1,16.0,0.03571428571428571
4,20,3,1,12.0,0.2222222222222222
11,20,7,0,11.0,0.11688311688311688
18,20,30,0,18.0,0.003703703703703704
2,20,3,1,11.0,0.2727272727272727
3,20,3,1,11.5,0.2463768115942029
10,20,7,1,15.0,0.047619047619047616
9,20,14,0,9.0,0.0873015873015873
9,20,7,1,14.5,0.054187192118226604
10,20,14,0,10.0,0.07142857142857142
10,20,6,1,15.0,0.05555555555555555
8,20,14,0,8.0,0.10714285714285714
12,20,7,1,16.0,0.03571428571428571
11,20,14,0,11.0,0.05844155844155844
8,20,7,1,14.0,0.061224489795918366
11,20,7,1,15.5,0.041474654377880185
13,20,7,1,16.5,0.030303030303030304
12,20,14,0,12.0,0.047619047619047616
14,20,7,0,14.0,0.061224489795918366
9,20,14,0,9.0,0.0873015873015873
10,20,7,1,15.0,0.047619047619047616
10,20,14,0,10.0,0.07142857142857142
7,20,14,0,7.0,0.1326530612244898
