Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,0,5.0,0.07142857142857142
5,10,6,1,7.5,0.05555555555555555
2,10,60,0,2.0,0.06666666666666667
8,10,30,0,8.0,0.008333333333333333
6,10,30,0,6.0,0.022222222222222223
5,10,2,1,7.5,0.16666666666666666
4,10,60,0,4.0,0.025
4,10,90,0,4.0,0.016666666666666666
5,10,3,1,7.5,0.1111111111111111
5,10,7,1,7.5,0.047619047619047616
6,10,21,0,6.0,0.031746031746031744
4,10,14,1,7.0,0.030612244897959183
5,10,14,1,7.5,0.023809523809523808
5,10,60,0,5.0,0.016666666666666666
4,10,21,0,4.0,0.07142857142857142
4,10,6,1,7.0,0.07142857142857142
6,10,7,1,8.0,0.03571428571428571
6,10,14,1,8.0,0.017857142857142856
6,10,30,0,6.0,0.022222222222222223
5,10,5,1,7.5,0.06666666666666667
5,10,21,0,5.0,0.047619047619047616
3,10,21,1,6.5,0.02564102564102564
3,10,30,0,3.0,0.07777777777777778
4,10,14,1,7.0,0.030612244897959183
5,10,14,0,5.0,0.07142857142857142
6,10,6,1,8.0,0.041666666666666664
4,10,21,0,4.0,0.07142857142857142
5,10,7,1,7.5,0.047619047619047616
7,10,7,0,7.0,0.061224489795918366
6,10,7,0,6.0,0.09523809523809523
7,10,6,0,7.0,0.07142857142857142
3,10,14,0,3.0,0.16666666666666666
6,10,14,0,6.0,0.047619047619047616
5,10,6,1,7.5,0.05555555555555555
3,10,21,1,6.5,0.02564102564102564
