Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,0,11.0,0.11688311688311688
9,20,5,1,14.5,0.07586206896551724
17,20,30,0,17.0,0.0058823529411764705
16,20,21,0,16.0,0.011904761904761904
12,20,2,1,16.0,0.125
8,20,21,1,14.0,0.02040816326530612
19,20,60,0,19.0,0.0008771929824561404
18,20,60,0,18.0,0.001851851851851852
19,20,30,0,19.0,0.0017543859649122807
11,20,6,1,15.5,0.04838709677419355
3,20,3,1,11.5,0.2463768115942029
10,20,14,0,10.0,0.07142857142857142
4,20,3,1,12.0,0.2222222222222222
5,20,4,1,12.5,0.15
9,20,14,1,14.5,0.027093596059113302
11,20,14,0,11.0,0.05844155844155844
10,20,7,1,15.0,0.047619047619047616
12,20,14,1,16.0,0.017857142857142856
13,20,30,0,13.0,0.017948717948717947
8,20,14,1,14.0,0.030612244897959183
10,20,21,0,10.0,0.047619047619047616
7,20,7,1,13.5,0.06878306878306878
9,20,21,1,14.5,0.0180623973727422
11,20,21,1,15.5,0.013824884792626729
12,20,21,1,16.0,0.011904761904761904
12,20,30,1,16.0,0.008333333333333333
11,20,30,1,15.5,0.00967741935483871
13,20,60,1,16.5,0.0035353535353535356
14,20,60,0,14.0,0.007142857142857143
15,20,60,0,15.0,0.005555555555555556
12,20,60,0,12.0,0.011111111111111112
13,20,30,1,16.5,0.007070707070707071
16,20,60,0,16.0,0.004166666666666667
10,20,30,1,15.0,0.011111111111111112
