Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,1,15.5,0.041474654377880185
7,20,30,0,7.0,0.06190476190476191
17,20,30,0,17.0,0.0058823529411764705
12,20,3,1,16.0,0.08333333333333333
7,20,60,0,7.0,0.030952380952380953
13,20,3,1,16.5,0.0707070707070707
6,20,90,0,6.0,0.025925925925925925
12,20,4,1,16.0,0.0625
9,20,14,0,9.0,0.0873015873015873
13,20,2,1,16.5,0.10606060606060606
12,20,7,1,16.0,0.03571428571428571
10,20,21,0,10.0,0.047619047619047616
10,20,14,0,10.0,0.07142857142857142
8,20,14,0,8.0,0.10714285714285714
10,20,6,1,15.0,0.05555555555555555
11,20,7,1,15.5,0.041474654377880185
13,20,6,1,16.5,0.03535353535353535
11,20,14,0,11.0,0.05844155844155844
12,20,6,1,16.0,0.041666666666666664
13,20,7,1,16.5,0.030303030303030304
9,20,21,0,9.0,0.0582010582010582
9,20,14,1,14.5,0.027093596059113302
8,20,21,0,8.0,0.07142857142857142
12,20,7,1,16.0,0.03571428571428571
10,20,14,1,15.0,0.023809523809523808
8,20,14,1,14.0,0.030612244897959183
7,20,21,0,7.0,0.08843537414965986
14,20,7,1,17.0,0.025210084033613446
12,20,14,1,16.0,0.017857142857142856
11,20,14,1,15.5,0.020737327188940093
10,20,21,1,15.0,0.015873015873015872
13,20,14,1,16.5,0.015151515151515152
13,20,21,1,16.5,0.010101010101010102
12,20,21,0,12.0,0.031746031746031744
