Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,0,5.0,0.07142857142857142
5,10,6,0,5.0,0.16666666666666666
4,10,5,0,4.0,0.3
9,10,7,0,9.0,0.015873015873015872
5,10,1,0,5.0,1.0
6,10,2,0,6.0,0.3333333333333333
3,10,1,1,6.5,0.5384615384615384
5,10,4,0,5.0,0.25
5,10,3,0,5.0,0.3333333333333333
4,10,1,1,7.0,0.42857142857142855
5,10,5,0,5.0,0.2
6,10,1,0,6.0,0.6666666666666666
4,10,2,1,7.0,0.21428571428571427
5,10,6,0,5.0,0.16666666666666666
4,10,14,0,4.0,0.10714285714285714
3,10,2,1,6.5,0.2692307692307692
5,10,1,1,7.5,0.3333333333333333
5,10,2,1,7.5,0.16666666666666666
5,10,7,0,5.0,0.14285714285714285
3,10,1,1,6.5,0.5384615384615384
4,10,3,0,4.0,0.5
7,10,1,0,7.0,0.42857142857142855
3,10,3,1,6.5,0.1794871794871795
6,10,1,1,8.0,0.25
6,10,2,1,8.0,0.125
4,10,2,1,7.0,0.21428571428571427
5,10,3,0,5.0,0.3333333333333333
6,10,3,0,6.0,0.2222222222222222
4,10,4,0,4.0,0.375
5,10,2,1,7.5,0.16666666666666666
7,10,2,0,7.0,0.21428571428571427
3,10,4,0,3.0,0.5833333333333334
4,10,3,0,4.0,0.5
5,10,1,1,7.5,0.3333333333333333
3,10,3,1,6.5,0.1794871794871795
