Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,0,11.0,0.11688311688311688
9,20,5,1,14.5,0.07586206896551724
17,20,30,0,17.0,0.0058823529411764705
16,20,21,0,16.0,0.011904761904761904
12,20,2,1,16.0,0.125
8,20,21,0,8.0,0.07142857142857142
14,20,1,0,14.0,0.42857142857142855
19,20,21,0,19.0,0.002506265664160401
19,20,30,0,19.0,0.0017543859649122807
11,20,2,1,15.5,0.14516129032258066
18,20,30,0,18.0,0.003703703703703704
11,20,3,1,15.5,0.0967741935483871
5,20,2,1,12.5,0.3
10,20,7,1,15.0,0.047619047619047616
4,20,3,1,12.0,0.2222222222222222
9,20,14,0,9.0,0.0873015873015873
10,20,5,1,15.0,0.06666666666666667
11,20,7,1,15.5,0.041474654377880185
10,20,14,0,10.0,0.07142857142857142
9,20,7,1,14.5,0.054187192118226604
12,20,7,0,12.0,0.09523809523809523
10,20,6,1,15.0,0.05555555555555555
13,20,7,1,16.5,0.030303030303030304
11,20,14,0,11.0,0.05844155844155844
8,20,14,1,14.0,0.030612244897959183
12,20,14,0,12.0,0.047619047619047616
10,20,7,1,15.0,0.047619047619047616
9,20,14,1,14.5,0.027093596059113302
9,20,21,0,9.0,0.0582010582010582
11,20,7,1,15.5,0.041474654377880185
10,20,14,1,15.0,0.023809523809523808
10,20,21,0,10.0,0.047619047619047616
8,20,21,0,8.0,0.07142857142857142
7,20,14,0,7.0,0.1326530612244898
