Var1,Var2,Var4,Var5,V,k
10,20,60,1,15.0,0.005555555555555556
10,20,180,0,10.0,0.005555555555555556
11,20,60,1,15.5,0.004838709677419355
8,20,180,0,8.0,0.008333333333333333
7,20,21,0,7.0,0.08843537414965986
12,20,30,1,16.0,0.008333333333333333
1,20,21,1,10.5,0.04308390022675737
1,20,30,1,10.5,0.03015873015873016
2,20,21,1,11.0,0.03896103896103896
1,20,14,1,10.5,0.06462585034013606
2,20,30,1,11.0,0.02727272727272727
13,20,365,0,13.0,0.0014752370916754477
14,20,365,0,14.0,0.0011741682974559687
5,20,30,1,12.5,0.02
14,20,180,0,14.0,0.002380952380952381
9,20,60,0,9.0,0.020370370370370372
19,20,180,0,19.0,0.00029239766081871346
2,20,14,1,11.0,0.05844155844155844
10,20,60,0,10.0,0.016666666666666666
16,20,90,0,16.0,0.002777777777777778
8,20,30,1,14.0,0.014285714285714285
8,20,60,0,8.0,0.025
3,20,14,1,11.5,0.052795031055900624
11,20,60,0,11.0,0.013636363636363636
10,20,30,1,15.0,0.011111111111111112
9,20,30,1,14.5,0.01264367816091954
7,20,60,1,13.5,0.008024691358024692
9,20,60,1,14.5,0.00632183908045977
12,20,60,1,16.0,0.004166666666666667
12,20,90,0,12.0,0.007407407407407408
10,20,60,1,15.0,0.005555555555555556
11,20,90,0,11.0,0.00909090909090909
6,20,60,1,13.0,0.008974358974358974
8,20,60,0,8.0,0.025
13,20,60,0,13.0,0.008974358974358974
11,20,60,0,11.0,0.013636363636363636
