Var1,Var2,Var4,Var5,V,k
9,20,60,1,14.5,0.00632183908045977
9,20,180,0,9.0,0.006790123456790123
11,20,60,0,11.0,0.013636363636363636
14,20,21,0,14.0,0.02040816326530612
12,20,14,1,16.0,0.017857142857142856
6,20,14,1,13.0,0.038461538461538464
3,20,14,1,11.5,0.052795031055900624
8,20,180,0,8.0,0.008333333333333333
11,20,21,1,15.5,0.013824884792626729
10,20,180,0,10.0,0.005555555555555556
13,20,14,1,16.5,0.015151515151515152
14,20,7,1,17.0,0.025210084033613446
10,20,30,1,15.0,0.011111111111111112
9,20,60,0,9.0,0.020370370370370372
10,20,90,0,10.0,0.011111111111111112
11,20,30,1,15.5,0.00967741935483871
10,20,60,1,15.0,0.005555555555555556
11,20,90,1,15.5,0.0032258064516129032
17,20,180,0,17.0,0.000980392156862745
18,20,180,0,18.0,0.0006172839506172839
16,20,180,0,16.0,0.001388888888888889
2,20,21,1,11.0,0.03896103896103896
9,20,90,1,14.5,0.00421455938697318
1,20,21,1,10.5,0.04308390022675737
5,20,30,1,12.5,0.02
4,20,30,1,12.0,0.022222222222222223
5,20,21,1,12.5,0.02857142857142857
4,20,60,1,12.0,0.011111111111111112
8,20,90,1,14.0,0.004761904761904762
10,20,90,1,15.0,0.003703703703703704
11,20,90,0,11.0,0.00909090909090909
12,20,60,1,16.0,0.004166666666666667
12,20,90,0,12.0,0.007407407407407408
7,20,90,1,13.5,0.005349794238683128
13,20,90,0,13.0,0.005982905982905983
9,20,90,1,14.5,0.00421455938697318
