Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,1,15.0,0.015873015873015872
8,20,60,1,14.0,0.007142857142857143
7,20,90,1,13.5,0.005349794238683128
1,20,30,1,10.5,0.03015873015873016
7,20,180,0,7.0,0.010317460317460317
1,20,14,1,10.5,0.06462585034013606
8,20,180,0,8.0,0.008333333333333333
9,20,180,0,9.0,0.006790123456790123
12,20,14,1,16.0,0.017857142857142856
10,20,90,0,10.0,0.011111111111111112
14,20,7,1,17.0,0.025210084033613446
15,20,6,1,17.5,0.023809523809523808
15,20,5,1,17.5,0.02857142857142857
11,20,60,0,11.0,0.013636363636363636
9,20,60,1,14.5,0.00632183908045977
10,20,60,1,15.0,0.005555555555555556
11,20,90,0,11.0,0.00909090909090909
9,20,90,0,9.0,0.013580246913580247
8,20,60,1,14.0,0.007142857142857143
7,20,90,1,13.5,0.005349794238683128
8,20,90,1,14.0,0.004761904761904762
11,20,30,1,15.5,0.00967741935483871
12,20,30,1,16.0,0.008333333333333333
13,20,30,1,16.5,0.007070707070707071
14,20,30,1,17.0,0.0058823529411764705
11,20,60,1,15.5,0.004838709677419355
10,20,90,0,10.0,0.011111111111111112
10,20,60,1,15.0,0.005555555555555556
12,20,60,1,16.0,0.004166666666666667
9,20,90,0,9.0,0.013580246913580247
11,20,90,0,11.0,0.00909090909090909
13,20,60,1,16.5,0.0035353535353535356
7,20,180,0,7.0,0.010317460317460317
8,20,90,0,8.0,0.016666666666666666
12,20,90,0,12.0,0.007407407407407408
