Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,0,11.0,0.11688311688311688
9,20,5,1,14.5,0.07586206896551724
17,20,30,0,17.0,0.0058823529411764705
16,20,21,0,16.0,0.011904761904761904
12,20,2,1,16.0,0.125
8,20,21,0,8.0,0.07142857142857142
14,20,1,1,17.0,0.17647058823529413
10,20,7,0,10.0,0.14285714285714285
11,20,2,1,15.5,0.14516129032258066
10,20,6,1,15.0,0.05555555555555555
9,20,14,0,9.0,0.0873015873015873
10,20,5,1,15.0,0.06666666666666667
12,20,7,0,12.0,0.09523809523809523
11,20,5,0,11.0,0.16363636363636364
10,20,4,1,15.0,0.08333333333333333
9,20,7,1,14.5,0.054187192118226604
11,20,6,1,15.5,0.04838709677419355
13,20,6,0,13.0,0.08974358974358974
11,20,7,0,11.0,0.11688311688311688
10,20,7,0,10.0,0.14285714285714285
9,20,6,1,14.5,0.06321839080459771
10,20,6,1,15.0,0.05555555555555555
12,20,5,1,16.0,0.05
12,20,6,1,16.0,0.041666666666666664
12,20,7,1,16.0,0.03571428571428571
13,20,7,0,13.0,0.07692307692307693
9,20,14,0,9.0,0.0873015873015873
13,20,5,1,16.5,0.04242424242424243
14,20,6,1,17.0,0.029411764705882353
10,20,14,0,10.0,0.07142857142857142
13,20,6,0,13.0,0.08974358974358974
11,20,7,0,11.0,0.11688311688311688
10,20,7,0,10.0,0.14285714285714285
8,20,7,1,14.0,0.061224489795918366
