Var1,Var2,Var4,Var5,V,k
9,20,60,0,9.0,0.020370370370370372
10,20,21,0,10.0,0.047619047619047616
11,20,7,1,15.5,0.041474654377880185
7,20,30,0,7.0,0.06190476190476191
17,20,30,0,17.0,0.0058823529411764705
12,20,3,1,16.0,0.08333333333333333
7,20,60,1,13.5,0.008024691358024692
18,20,60,0,18.0,0.001851851851851852
19,20,60,0,19.0,0.0008771929824561404
19,20,90,0,19.0,0.0005847953216374269
2,20,3,1,11.0,0.2727272727272727
17,20,60,0,17.0,0.0029411764705882353
4,20,4,1,12.0,0.16666666666666666
3,20,4,1,11.5,0.18478260869565216
10,20,14,1,15.0,0.023809523809523808
10,20,21,0,10.0,0.047619047619047616
6,20,7,1,13.0,0.07692307692307693
11,20,21,0,11.0,0.03896103896103896
8,20,14,1,14.0,0.030612244897959183
9,20,14,1,14.5,0.027093596059113302
12,20,14,1,16.0,0.017857142857142856
11,20,30,1,15.5,0.00967741935483871
14,20,30,0,14.0,0.014285714285714285
5,20,14,1,12.5,0.04285714285714286
10,20,30,0,10.0,0.03333333333333333
9,20,21,0,9.0,0.0582010582010582
8,20,21,1,14.0,0.02040816326530612
10,20,21,0,10.0,0.047619047619047616
7,20,14,1,13.5,0.03439153439153439
11,20,21,0,11.0,0.03896103896103896
10,20,14,1,15.0,0.023809523809523808
12,20,21,0,12.0,0.031746031746031744
8,20,14,1,14.0,0.030612244897959183
11,20,14,1,15.5,0.020737327188940093
9,20,30,0,9.0,0.040740740740740744
12,20,14,1,16.0,0.017857142857142856
