Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,1,7.5,0.023809523809523808
3,10,90,1,6.5,0.005982905982905983
3,10,180,0,3.0,0.012962962962962963
3,10,7,1,6.5,0.07692307692307693
5,10,180,0,5.0,0.005555555555555556
6,10,6,1,8.0,0.041666666666666664
4,10,365,0,4.0,0.00410958904109589
6,10,5,1,8.0,0.05
6,10,7,1,8.0,0.03571428571428571
5,10,30,0,5.0,0.03333333333333333
6,10,90,0,6.0,0.007407407407407408
5,10,7,0,5.0,0.14285714285714285
9,10,180,0,9.0,0.0006172839506172839
1,10,5,1,5.5,0.16363636363636364
5,10,5,1,7.5,0.06666666666666667
5,10,90,0,5.0,0.011111111111111112
5,10,21,1,7.5,0.015873015873015872
4,10,14,1,7.0,0.030612244897959183
6,10,60,0,6.0,0.011111111111111112
4,10,30,0,4.0,0.05
5,10,60,0,5.0,0.016666666666666666
4,10,21,1,7.0,0.02040816326530612
5,10,30,1,7.5,0.011111111111111112
5,10,14,1,7.5,0.023809523809523808
6,10,30,0,6.0,0.022222222222222223
3,10,30,1,6.5,0.017948717948717947
6,10,21,1,8.0,0.011904761904761904
3,10,21,0,3.0,0.1111111111111111
1,10,7,1,5.5,0.11688311688311688
1,10,6,1,5.5,0.13636363636363635
5,10,21,1,7.5,0.015873015873015872
4,10,30,1,7.0,0.014285714285714285
4,10,14,0,4.0,0.10714285714285714
8,10,60,0,8.0,0.004166666666666667
4,10,21,0,4.0,0.07142857142857142
