Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,0,5.0,0.07142857142857142
5,10,6,0,5.0,0.16666666666666666
4,10,5,1,7.0,0.08571428571428572
9,10,30,0,9.0,0.003703703703703704
7,10,21,0,7.0,0.02040816326530612
5,10,21,0,5.0,0.047619047619047616
5,10,1,1,7.5,0.3333333333333333
5,10,30,0,5.0,0.03333333333333333
6,10,14,0,6.0,0.047619047619047616
5,10,3,1,7.5,0.1111111111111111
5,10,5,0,5.0,0.2
4,10,2,1,7.0,0.21428571428571427
5,10,4,1,7.5,0.08333333333333333
5,10,14,0,5.0,0.07142857142857142
5,10,6,0,5.0,0.16666666666666666
4,10,6,1,7.0,0.07142857142857142
4,10,7,0,4.0,0.21428571428571427
4,10,3,1,7.0,0.14285714285714285
6,10,3,0,6.0,0.2222222222222222
4,10,5,0,4.0,0.3
5,10,2,1,7.5,0.16666666666666666
5,10,3,0,5.0,0.3333333333333333
3,10,4,1,6.5,0.1346153846153846
4,10,4,1,7.0,0.10714285714285714
5,10,4,0,5.0,0.25
5,10,5,1,7.5,0.06666666666666667
6,10,4,0,6.0,0.16666666666666666
3,10,5,0,3.0,0.4666666666666667
3,10,3,1,6.5,0.1794871794871795
4,10,3,1,7.0,0.14285714285714285
6,10,3,1,8.0,0.08333333333333333
6,10,5,1,8.0,0.05
6,10,6,0,6.0,0.1111111111111111
5,10,6,0,5.0,0.16666666666666666
5,10,3,1,7.5,0.1111111111111111
