Var1,Var2,Var4,Var5,V,k
5,10,60,0,5.0,0.016666666666666666
5,10,14,0,5.0,0.07142857142857142
5,10,6,0,5.0,0.16666666666666666
4,10,5,0,4.0,0.3
9,10,7,0,9.0,0.015873015873015872
5,10,1,0,5.0,1.0
6,10,2,0,6.0,0.3333333333333333
3,10,1,1,6.5,0.5384615384615384
5,10,4,0,5.0,0.25
5,10,3,0,5.0,0.3333333333333333
4,10,1,1,7.0,0.42857142857142855
5,10,5,0,5.0,0.2
6,10,1,1,8.0,0.25
5,10,7,0,5.0,0.14285714285714285
4,10,14,0,4.0,0.10714285714285714
4,10,2,0,4.0,0.75
2,10,1,1,6.0,0.6666666666666666
5,10,1,1,7.5,0.3333333333333333
5,10,2,0,5.0,0.5
3,10,2,1,6.5,0.2692307692307692
7,10,1,0,7.0,0.42857142857142855
4,10,3,0,4.0,0.5
3,10,3,0,3.0,0.7777777777777778
4,10,1,1,7.0,0.42857142857142855
6,10,1,0,6.0,0.6666666666666666
6,10,2,0,6.0,0.3333333333333333
2,10,3,0,2.0,1.3333333333333333
4,10,2,0,4.0,0.75
3,10,1,0,3.0,2.3333333333333335
2,10,1,0,2.0,4.0
1,10,1,1,5.5,0.8181818181818182
5,10,1,0,5.0,1.0
1,10,2,0,1.0,4.5
2,10,2,0,2.0,2.0
3,10,2,0,3.0,1.1666666666666667
4,10,1,1,7.0,0.42857142857142855
